# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=214823035
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,M,gamma,tau,t_peak,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-19213.3,1,0.00390625,2,3,0,70782.8,2.21635,3.97084,0.739339,22.8902,3.0124,1.71865,1.08887,2.21635,3.97084,0.739339,22.8902,3.0124
-19213.3,0,14.3855,0,1,1,19217,2.21635,3.97084,0.739339,22.8902,3.0124,1.71865,1.08887,2.21635,3.97084,0.739339,22.8902,3.0124
-19213.3,0,2.43117,0,1,1,19215,2.21635,3.97084,0.739339,22.8902,3.0124,1.71865,1.08887,2.21635,3.97084,0.739339,22.8902,3.0124
-19213.3,0,0.239791,0,1,1,19214.7,2.21635,3.97084,0.739339,22.8902,3.0124,1.71865,1.08887,2.21635,3.97084,0.739339,22.8902,3.0124
-19213.3,0,0.0186273,0,1,1,19219.1,2.21635,3.97084,0.739339,22.8902,3.0124,1.71865,1.08887,2.21635,3.97084,0.739339,22.8902,3.0124
-16925.8,1,0.00130482,2,3,0,19182.6,2.21645,3.97486,0.73848,22.8844,3.01257,1.81451,1.16885,2.21645,3.97486,0.73848,22.8844,3.01257
-15979.8,1,0.00189104,1,1,0,16901.2,2.21862,3.97734,0.738684,22.8845,3.0109,1.86501,1.20431,2.21862,3.97734,0.738684,22.8845,3.0109
-9172.15,1,0.00305706,2,3,0,15654.1,2.16501,3.98112,0.737643,22.8515,3.01551,2.39184,1.63161,2.16501,3.98112,0.737643,22.8515,3.01551
-7118.02,1,0.00530085,1,1,0,8949.42,2.15116,3.98024,0.737168,22.87,3.01562,2.69336,1.86747,2.15116,3.98024,0.737168,22.87,3.01562
-3696.04,1,0.00961161,4,15,0,6390.46,2.14921,3.9775,0.738432,22.8965,3.0213,3.75907,2.58596,2.14921,3.9775,0.738432,22.8965,3.0213
