# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1577154083
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_stiffsolve_td12_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-7.09292e+06,1,0.00012207,2,3,0,1.44867e+07,-0.145227,3.92694,0.270638,-0.455828,0.367438,0.526604,4.61652,12854.8,3.92694,0.270638,18.7209,0.367438
-7.09292e+06,0,14.3855,0,1,1,7.09292e+06,-0.145227,3.92694,0.270638,-0.455828,0.367438,0.526604,4.61652,12854.8,3.92694,0.270638,18.7209,0.367438
-7.09292e+06,0,2.43117,0,1,1,7.09292e+06,-0.145227,3.92694,0.270638,-0.455828,0.367438,0.526604,4.61652,12854.8,3.92694,0.270638,18.7209,0.367438
-7.09292e+06,0,0.239791,0,1,1,7.09292e+06,-0.145227,3.92694,0.270638,-0.455828,0.367438,0.526604,4.61652,12854.8,3.92694,0.270638,18.7209,0.367438
-7.09292e+06,0,0.0186273,0,1,1,7.09293e+06,-0.145227,3.92694,0.270638,-0.455828,0.367438,0.526604,4.61652,12854.8,3.92694,0.270638,18.7209,0.367438
-7.09292e+06,0,0.00130482,0,1,1,7.09293e+06,-0.145227,3.92694,0.270638,-0.455828,0.367438,0.526604,4.61652,12854.8,3.92694,0.270638,18.7209,0.367438
-2.97666e+06,1,8.85015e-05,4,15,0,6.9608e+06,-0.179235,3.07871,0.27004,-0.456068,0.461007,0.636253,5.88562,12820.8,3.07871,0.27004,18.7197,0.461007
-2.14343e+06,1,0.000135987,2,3,0,2.94832e+06,-0.195903,2.86298,0.269881,-0.455966,0.494059,0.730721,6.32898,12804.1,2.86298,0.269881,18.7202,0.494059
-604881,1,0.000228818,3,7,0,2.08977e+06,-0.262389,2.21566,0.269412,-0.456582,0.631907,1.30337,8.16917,12737.6,2.21566,0.269412,18.7171,0.631907
-519439,1,0.000408639,1,1,0,599011,-0.270684,2.16131,0.269268,-0.456332,0.647174,1.40652,8.37639,12729.3,2.16131,0.269268,18.7183,0.647174
-118553,1,0.000758439,5,31,0,485335,-0.348347,1.6914,0.268181,-0.458344,0.82086,2.93268,10.6881,12651.7,1.6914,0.268181,18.7083,0.82086
-81680.9,1,0.00144197,1,1,0,113173,-0.367091,1.5852,0.268343,-0.458943,0.874728,3.52243,11.3591,12632.9,1.5852,0.268343,18.7053,0.874728
-31526.2,1,0.00278004,3,7,0,68822.5,-0.411764,1.34808,0.268292,-0.457091,1.02111,5.65041,13.2742,12588.2,1.34808,0.268292,18.7145,1.02111
-7951.71,1,0.00539629,1,1,0,24925,-0.485614,1.07579,0.267923,-0.469808,1.28443,11.2173,16.6755,12514.4,1.07579,0.267923,18.651,1.28443
-2274.16,1,0.0104922,2,3,0,6324.38,-0.542433,0.867904,0.268988,-0.489265,1.59141,21.0812,20.7219,12457.6,0.867904,0.268988,18.5537,1.59141
-658.543,1,0.0203599,2,3,0,1822.26,-0.586478,0.712057,0.264249,-0.49908,2.01404,41.8082,25.7792,12413.5,0.712057,0.264249,18.5046,2.01404
-275.309,1,0.0393257,2,3,0,551.128,-0.557021,0.56357,0.246334,-0.490303,2.59425,76.325,29.9244,12443,0.56357,0.246334,18.5485,2.59425
-166.596,1,0.0754671,3,7,0,243.843,-0.782946,0.443591,0.252531,-0.408229,2.90012,140.295,38.5549,12217.1,0.443591,0.252531,18.9589,2.90012
-146.438,0.933789,0.143696,4,15,0,161.421,-0.684696,0.348117,0.242666,-0.272329,3.56025,218.949,55.5726,12315.3,0.348117,0.242666,19.6384,3.56025
-141.189,0.795102,0.22228,4,15,0,147.952,0.28526,0.0263535,0.370118,-1.0452,0.83626,241.032,33.1922,13285.3,0.0263535,0.370118,15.774,0.83626
-141.516,0.4351,0.226021,2,7,0,146.89,0.589972,0.023741,0.352822,-1.4569,0.757269,317.233,64.6635,13590,0.023741,0.352822,13.7155,0.757269
