# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1577154083
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_td12_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-52744.6,1,0.00195312,1,1,0,255998,-2.011,1.60979,0.794963,-1.57746,2.08132,3.07224,7.47029,10989,1.60979,0.794963,13.1127,2.08132
-52744.6,0,14.3855,0,1,1,52749.6,-2.011,1.60979,0.794963,-1.57746,2.08132,3.07224,7.47029,10989,1.60979,0.794963,13.1127,2.08132
-52744.6,0,2.43117,0,1,1,52749.7,-2.011,1.60979,0.794963,-1.57746,2.08132,3.07224,7.47029,10989,1.60979,0.794963,13.1127,2.08132
-52744.6,0,0.239791,0,1,1,52747.5,-2.011,1.60979,0.794963,-1.57746,2.08132,3.07224,7.47029,10989,1.60979,0.794963,13.1127,2.08132
-52744.6,0,0.0186273,0,1,1,52746,-2.011,1.60979,0.794963,-1.57746,2.08132,3.07224,7.47029,10989,1.60979,0.794963,13.1127,2.08132
-17584.6,1,0.00130482,4,15,0,51576.6,-2.06492,1.50944,0.795291,-1.57019,2.23301,5.62405,8.07814,10935.1,1.50944,0.795291,13.1491,2.23301
-12503.4,1,0.00189104,2,3,0,17402.3,-2.0885,1.45102,0.795308,-1.56974,2.33215,6.75661,8.4636,10911.5,1.45102,0.795308,13.1513,2.33215
-10583.4,1,0.00305706,1,1,0,12354.5,-2.09887,1.42281,0.795633,-1.56915,2.38269,7.3917,8.68876,10901.1,1.42281,0.795633,13.1542,2.38269
-7007.78,1,0.00530085,1,1,0,9994.55,-2.12492,1.35069,0.795568,-1.56729,2.52761,9.23306,9.29386,10875.1,1.35069,0.795568,13.1636,2.52761
-3002.69,1,0.00961161,5,31,0,5987.13,-2.17755,1.21075,0.796479,-1.5582,2.89732,14.7381,10.856,10822.5,1.21075,0.796479,13.209,2.89732
-1006.6,1,0.0179176,2,3,0,2440.51,-2.23894,1.03651,0.791845,-1.5513,3.4891,27.6463,14.5472,10761.1,1.03651,0.791845,13.2435,3.4891
-380.763,1,0.0339435,3,7,0,835.498,-2.29627,0.947038,0.787667,-1.57347,4.09077,52.1213,22.7093,10703.7,0.947038,0.787667,13.1327,4.09077
-215.712,1,0.0648221,2,3,0,332.506,-2.29997,0.850586,0.790503,-1.43028,4.82218,96.3242,32.4557,10700,0.850586,0.790503,13.8486,4.82218
-162.784,1,0.124086,2,3,0,199.506,-2.25216,0.895974,0.810219,-1.46942,4.84832,156.448,66.6638,10747.8,0.895974,0.810219,13.6529,4.84832
-150.348,1,0.237148,2,3,0,160.524,-2.11477,0.630548,0.818402,-1.60186,2.80819,285.48,116.997,10885.2,0.630548,0.818402,12.9907,2.80819
-152.402,0.0426048,0.451219,1,3,1,154.337,-2.23739,0.48655,0.80912,-1.70686,1.45277,405.578,135.624,10762.6,0.48655,0.80912,12.4657,1.45277
-146.073,0.640785,0.0448342,6,63,0,153.516,-2.18805,0.282781,0.859753,-1.92149,1.58127,215.115,107.859,10811.9,0.282781,0.859753,11.3925,1.58127
