# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=214823035
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,M,gamma,tau,t_peak,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-328.548,1,0.03125,1,1,0,1920.28,5.21385,1.65959,0.709719,24.4148,4.01469,10.9157,12.9943,5.21385,1.65959,0.709719,24.4148,4.01469
-328.548,0,14.3855,0,1,1,330.132,5.21385,1.65959,0.709719,24.4148,4.01469,10.9157,12.9943,5.21385,1.65959,0.709719,24.4148,4.01469
-328.548,0,2.43117,0,1,1,330.874,5.21385,1.65959,0.709719,24.4148,4.01469,10.9157,12.9943,5.21385,1.65959,0.709719,24.4148,4.01469
-328.548,0,0.239791,0,1,1,329.961,5.21385,1.65959,0.709719,24.4148,4.01469,10.9157,12.9943,5.21385,1.65959,0.709719,24.4148,4.01469
-243.728,1,0.0186273,2,3,0,326.984,5.36232,1.68797,0.70537,24.7664,4.03403,13.5818,14.27,5.36232,1.68797,0.70537,24.7664,4.03403
-224.251,1,0.0257257,7,191,0,247.111,43.9574,2.80011,0.679266,12.8105,4.39349,6.74337e+06,15328.9,43.9574,2.80011,0.679266,12.8105,4.39349
-193.573,0.999987,0.0404064,5,31,0,227.385,57.7158,2.635,0.63936,12.3976,2.99657,966082,4015.58,57.7158,2.635,0.63936,12.3976,2.99657
-184.379,0.974288,0.0687216,5,31,0,201.251,25.5741,2.92705,0.605599,9.69239,2.5486,522189,2414.87,25.5741,2.92705,0.605599,9.69239,2.5486
-151.928,0.835974,0.113264,3,15,0,189.199,19.6993,3.98867,0.477022,3.28357,3.25251,53601,531.943,19.6993,3.98867,0.477022,3.28357,3.25251
-146.689,1,0.124171,3,7,0,154.784,13.4537,3.96753,0.486908,4.59928,3.14014,33990,466.042,13.4537,3.96753,0.486908,4.59928,3.14014
-116.857,0.857143,0.232298,3,7,0,147.125,47.5764,4.30883,0.426209,2.55265,3.68471,6786.01,49.9673,47.5764,4.30883,0.426209,2.55265,3.68471
-121.738,0.218691,0.279439,2,7,0,124.063,52.4475,4.17115,0.332623,2.82581,3.40167,8702.81,32.4267,52.4475,4.17115,0.332623,2.82581,3.40167
-96.1252,0.992525,0.0452817,5,31,0,126.093,60.501,4.51175,0.305436,6.49765,2.10719,569.899,98.0783,60.501,4.51175,0.305436,6.49765,2.10719
-95.8442,0.967249,0.0848071,3,15,0,100.087,80.2087,4.59313,0.221151,4.94608,2.22672,671.131,65.6198,80.2087,4.59313,0.221151,4.94608,2.22672
-91.9537,0.999247,0.146651,3,7,0,96.4348,78.0216,4.60068,0.263415,5.92819,2.19495,444.785,64.8883,78.0216,4.60068,0.263415,5.92819,2.19495
-88.2856,0.666667,0.279227,1,3,0,92.5947,81.1232,4.6249,0.278972,6.14652,2.36793,289.536,42.7172,81.1232,4.6249,0.278972,6.14652,2.36793
-82.191,0.760249,0.189911,5,31,0,89.8986,163.448,0.33596,0.751281,36.8451,4.39189,120.454,59.6182,163.448,0.33596,0.751281,36.8451,4.39189
-82.5381,0.724321,0.173207,3,15,0,85.4401,125.723,0.475474,0.610422,38.8861,3.85886,46.6674,47.2098,125.723,0.475474,0.610422,38.8861,3.85886
-80.4209,0.970621,0.142111,3,11,0,84.5433,482.779,0.582024,0.76,39.2147,4.09646,110.737,59.6363,482.779,0.582024,0.76,39.2147,4.09646
-77.8587,0.844102,0.245588,3,9,0,79.7735,1721.35,2.94244,0.625355,39.4739,3.09449,85.9236,43.9497,1721.35,2.94244,0.625355,39.4739,3.09449
-74.7926,0.278894,0.288766,3,9,0,77.7943,958.203,2.73432,0.588831,39.4863,3.36015,76.4602,64.6914,958.203,2.73432,0.588831,39.4863,3.36015
-75.6559,0.27505,0.0637264,7,127,0,80.7088,600.829,4.38201,0.75492,38.2322,3.39338,43.3557,25.1608,600.829,4.38201,0.75492,38.2322,3.39338
-74.2283,0.53301,0.014274,8,319,0,82.6001,951.566,4.22321,0.754074,37.6434,3.5913,39.6692,29.1207,951.566,4.22321,0.754074,37.6434,3.5913
-75.3787,0.218124,0.00694599,10,1023,0,76.8969,473.098,3.87518,0.559688,38.7291,3.14029,85.1373,54.4479,473.098,3.87518,0.559688,38.7291,3.14029
