# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1846767500
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_td15_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,M,gamma,tau,t_peak,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-385.733,1,0.03125,2,3,0,1169.85,1.03857,2.53872,0.792982,14.946,2.51886,11.878,8.736,1.03857,2.53872,0.792982,14.946,2.51886
-385.733,0,14.3855,0,1,1,392.679,1.03857,2.53872,0.792982,14.946,2.51886,11.878,8.736,1.03857,2.53872,0.792982,14.946,2.51886
-385.733,0,2.43117,0,1,1,389.906,1.03857,2.53872,0.792982,14.946,2.51886,11.878,8.736,1.03857,2.53872,0.792982,14.946,2.51886
-385.733,0,0.239791,0,1,1,389.256,1.03857,2.53872,0.792982,14.946,2.51886,11.878,8.736,1.03857,2.53872,0.792982,14.946,2.51886
-270.815,1,0.0186273,2,3,0,381.482,1.03058,2.50473,0.789753,15.1582,2.53234,14.8002,10.6851,1.03058,2.50473,0.789753,15.1582,2.53234
-98.6346,1,0.0257257,4,15,0,273.135,1.19932,2.2843,0.807359,14.2552,2.2495,35.6229,26.4771,1.19932,2.2843,0.807359,14.2552,2.2495
-93.138,0.99865,0.0404064,3,7,0,101.485,1.24801,2.42337,0.82415,14.4827,2.0941,44.9094,26.7105,1.24801,2.42337,0.82415,14.4827,2.0941
-85.5916,0.982297,0.068436,2,3,0,94.0307,1.16578,2.45041,0.813632,14.2128,2.23724,54.6775,35.8993,1.16578,2.45041,0.813632,14.2128,2.23724
-86.2766,0.998788,0.115664,4,31,0,89.7863,10.8691,0.362351,0.903641,17.8034,0.551116,51.3358,37.1032,10.8691,0.362351,0.903641,17.8034,0.551116
-85.334,0.998611,0.21206,4,23,0,88.8552,6.79609,0.39571,0.596206,21.9045,0.55632,126.005,78.1056,6.79609,0.39571,0.596206,21.9045,0.55632
-84.8619,0.435292,0.395276,3,9,1,90.2522,6.40759,0.312548,0.480983,11.5968,0.468606,120.987,45.496,6.40759,0.312548,0.480983,11.5968,0.468606
-83.6717,0.815426,0.125367,5,63,0,90.6964,76.4068,4.69547,0.481397,38.3555,1.74427,164.568,40.8432,76.4068,4.69547,0.481397,38.3555,1.74427
-78.0929,0.696287,0.133354,6,63,0,86.9855,779.751,4.2522,0.830815,39.7772,3.96074,73.8761,73.4024,779.751,4.2522,0.830815,39.7772,3.96074
-79.3693,0.802202,0.0981919,3,15,0,81.4512,787.23,4.20715,0.827965,39.7856,4.05861,74.0608,87.0347,787.23,4.20715,0.827965,39.7856,4.05861
-78.3705,0.95992,0.10141,3,15,0,84.6524,1346.69,4.14588,0.829488,39.8083,4.23408,51.6545,88.8273,1346.69,4.14588,0.829488,39.8083,4.23408
-76.5647,0.374257,0.171335,5,56,1,82.699,853.553,0.718921,0.970811,38.5455,2.74958,47.503,66.6455,853.553,0.718921,0.970811,38.5455,2.74958
-75.5497,0.998213,0.0475514,4,31,0,78.471,1735.54,0.83704,0.95643,38.721,2.75857,50.1228,27.7647,1735.54,0.83704,0.95643,38.721,2.75857
-73.4743,0.601287,0.0906283,6,63,0,76.3812,1526.49,1.07414,0.968068,38.6169,2.62189,61.1414,42.6347,1526.49,1.07414,0.968068,38.6169,2.62189
-74.0062,0.609055,0.0514735,7,127,0,78.4636,619.954,3.53793,0.745076,38.7404,3.95452,56.4767,53.9758,619.954,3.53793,0.745076,38.7404,3.95452
-71.9018,0.877635,0.0302455,7,127,0,76.1029,1174.08,1.29693,0.327628,36.1544,4.26364,39.345,42.8278,1174.08,1.29693,0.327628,36.1544,4.26364
-72.593,0.585231,0.0399848,6,111,0,79.8325,1132.12,2.01549,0.635518,33.0271,4.66768,66.323,41.9327,1132.12,2.01549,0.635518,33.0271,4.66768
-75.6982,0.643267,0.0221912,7,127,0,77.0784,685.271,1.80367,0.506712,34.9208,4.77164,73.3321,60.8651,685.271,1.80367,0.506712,34.9208,4.77164
