# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1015924205
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_sigmap_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,M,gamma,tau,t_peak,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-2.18404e+07,1,6.10352e-05,4,15,0,1.18314e+08,7768.01,0.689608,0.656894,10.7146,0.193494,0.213934,0.284656,7768.01,0.689608,0.656894,10.7146,0.193494
-2.18404e+07,0,14.3855,0,1,1,2.18404e+07,7768.01,0.689608,0.656894,10.7146,0.193494,0.213934,0.284656,7768.01,0.689608,0.656894,10.7146,0.193494
-2.18404e+07,0,2.43117,0,1,1,2.18404e+07,7768.01,0.689608,0.656894,10.7146,0.193494,0.213934,0.284656,7768.01,0.689608,0.656894,10.7146,0.193494
-2.18404e+07,0,0.239791,0,1,1,2.18404e+07,7768.01,0.689608,0.656894,10.7146,0.193494,0.213934,0.284656,7768.01,0.689608,0.656894,10.7146,0.193494
-2.18404e+07,0,0.0186273,0,1,1,2.18404e+07,7768.01,0.689608,0.656894,10.7146,0.193494,0.213934,0.284656,7768.01,0.689608,0.656894,10.7146,0.193494
-2.18404e+07,0,0.00130482,0,1,1,2.18404e+07,7768.01,0.689608,0.656894,10.7146,0.193494,0.213934,0.284656,7768.01,0.689608,0.656894,10.7146,0.193494
-1.29651e+07,1,8.85015e-05,1,1,0,2.0129e+07,7173.23,0.679757,0.656701,10.7141,0.208256,0.219795,0.328689,7173.23,0.679757,0.656701,10.7141,0.208256
-6.58796e+06,1,0.000135987,1,1,0,1.15277e+07,6366.15,0.666288,0.65646,10.7133,0.22853,0.231632,0.396349,6366.15,0.666288,0.65646,10.7133,0.22853
-2.74869e+06,1,0.000228818,2,3,0,5.62094e+06,5288.03,0.648211,0.656127,10.7131,0.255714,0.258163,0.501989,5288.03,0.648211,0.656127,10.7131,0.255714
-977691,1,0.000408639,2,3,0,2.27736e+06,4069.34,0.627429,0.655904,10.7123,0.286354,0.316955,0.647144,4069.34,0.627429,0.655904,10.7123,0.286354
-317438,1,0.000758439,1,1,0,798714,2957.53,0.606119,0.655428,10.7184,0.316085,0.435927,0.825295,2957.53,0.606119,0.655428,10.7184,0.316085
-102621,1,0.00144197,1,1,0,259657,2138.92,0.585825,0.655616,10.7281,0.343527,0.668569,1.04066,2138.92,0.585825,0.655616,10.7281,0.343527
-33094.5,1,0.00278004,1,1,0,83776,1588.87,0.56485,0.65489,10.7041,0.367308,1.12907,1.35685,1588.87,0.56485,0.65489,10.7041,0.367308
-10343.8,1,0.00539629,4,15,0,26905.7,1236.43,0.542977,0.654301,10.7164,0.39072,2.07631,1.91649,1236.43,0.542977,0.654301,10.7164,0.39072
-3088.34,1,0.0104922,2,3,0,8326.04,1026.13,0.524822,0.657793,10.7058,0.410584,3.94505,3.09792,1026.13,0.524822,0.657793,10.7058,0.410584
-898.684,1,0.0203599,5,31,0,2451.29,901.161,0.507104,0.656651,10.6006,0.416091,7.50604,5.53927,901.161,0.507104,0.656651,10.6006,0.416091
-271.216,1,0.0393257,2,3,0,723.924,802.419,0.497604,0.648184,10.1127,0.418899,15.4481,9.9978,802.419,0.497604,0.648184,10.1127,0.418899
-118.646,1,0.0754671,2,3,0,230.397,752.746,0.491992,0.621968,9.77308,0.43267,30.6489,17.6251,752.746,0.491992,0.621968,9.77308,0.43267
-82.1417,1,0.143696,2,3,0,110.155,756.546,0.425287,0.585591,9.15371,0.418853,53.4606,34.9365,756.546,0.425287,0.585591,9.15371,0.418853
-77.8917,0.885088,0.271232,4,15,0,82.6348,20270.9,0.525701,0.374636,1.45386,0.9061,64.4559,56.0305,20270.9,0.525701,0.374636,1.45386,0.9061
-79.7666,0.148644,0.360076,3,13,0,87.8082,17363.1,0.657045,0.886946,0.636183,0.949951,74.39,26.2849,17363.1,0.657045,0.886946,0.636183,0.949951
-76.1011,0.974772,0.0539668,4,15,0,82.0815,14721.1,0.321869,0.860481,0.849778,0.959401,48.3761,58.1444,14721.1,0.321869,0.860481,0.849778,0.959401
-76.7835,0.158352,0.0941468,5,53,1,80.0205,14343.2,0.361131,0.850346,1.14384,0.949655,48.8383,73.66,14343.2,0.361131,0.850346,1.14384,0.949655
-74.851,0.484533,0.0151737,8,255,0,80.3604,13748,0.301674,0.859234,1.25522,0.973012,43.4222,39.4694,13748,0.301674,0.859234,1.25522,0.973012
-75.7288,0.563097,0.00646158,8,511,0,77.7781,11756.3,0.300001,0.847574,1.38175,0.955977,35.9537,29.5584,11756.3,0.300001,0.847574,1.38175,0.955977
-74.8504,0.664709,0.00349639,10,1023,0,77.3357,12234.1,0.470491,0.8578,1.04572,0.972315,51.6934,51.5404,12234.1,0.470491,0.8578,1.04572,0.972315
-74.9774,0.991369,0.00255057,9,511,0,76.4106,13621.4,0.495117,0.894792,0.649705,0.97998,37.3147,32.2506,13621.4,0.495117,0.894792,0.649705,0.97998
-75.1528,0.322811,0.0046837,10,1023,0,80.0481,14500.6,0.463155,0.928578,0.758853,0.958159,36.1893,35.5199,14500.6,0.463155,0.928578,0.758853,0.958159
