# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1846767500
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_wips_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,M,gamma,tau,t_peak,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-12728.7,1,0.00390625,3,7,0,43657.4,0.0347531,0.648975,0.7912,14.6427,1.69134,7.66259,7.07722,13034.8,0.648975,0.7912,14.6427,1.69134
-12728.7,0,14.3855,0,1,1,12731.4,0.0347531,0.648975,0.7912,14.6427,1.69134,7.66259,7.07722,13034.8,0.648975,0.7912,14.6427,1.69134
-12728.7,0,2.43117,0,1,1,12735.1,0.0347531,0.648975,0.7912,14.6427,1.69134,7.66259,7.07722,13034.8,0.648975,0.7912,14.6427,1.69134
-12728.7,0,0.239791,0,1,1,12730.6,0.0347531,0.648975,0.7912,14.6427,1.69134,7.66259,7.07722,13034.8,0.648975,0.7912,14.6427,1.69134
-12728.7,0,0.0186273,0,1,1,12729.3,0.0347531,0.648975,0.7912,14.6427,1.69134,7.66259,7.07722,13034.8,0.648975,0.7912,14.6427,1.69134
-7833.25,1,0.00130482,3,7,0,12675,0.0138282,0.622609,0.790908,14.6138,1.77464,10.0209,7.35933,13013.8,0.622609,0.790908,14.6138,1.77464
-4340.55,1,0.00189104,3,7,0,7793.74,-0.0107486,0.568109,0.79068,14.717,1.90972,13.7325,7.98871,12989.3,0.568109,0.79068,14.717,1.90972
-3491.28,1,0.00305706,2,3,0,4322.12,-0.0104318,0.549038,0.790687,14.7351,1.97693,15.4402,8.23978,12989.6,0.549038,0.790687,14.7351,1.97693
-3134.46,1,0.00530085,1,1,0,3473.16,-0.0124038,0.541511,0.790379,14.6952,2.00315,16.3786,8.39943,12987.6,0.541511,0.790379,14.6952,2.00315
-907.277,1,0.00961161,4,15,0,2953.02,-0.0619833,0.444055,0.793938,14.8177,2.46528,32.6933,10.6173,12938,0.444055,0.793938,14.8177,2.46528
-350.139,1,0.0179176,2,3,0,866.456,-0.160888,0.384788,0.793178,14.388,3.00958,60.5629,14.2483,12839.1,0.384788,0.793178,14.388,3.00958
-185.969,1,0.0339435,2,3,0,339.794,-0.157965,0.32121,0.777585,14.152,3.22949,117.363,20.1092,12842,0.32121,0.777585,14.152,3.22949
-138.851,0.71892,0.0648221,3,7,0,182.622,-0.300953,0.246386,0.815859,11.4315,4.11788,305.845,48.6637,12699,0.246386,0.815859,11.4315,4.11788
-122.988,0.709058,0.051404,6,63,0,128.734,-0.430939,0.0765867,0.500261,3.95146,0.590584,175.876,55.1374,12569.1,0.0765867,0.500261,3.95146,0.590584
-124.054,0.143017,0.0398489,5,47,0,127.227,-0.486929,0.0676225,0.530008,3.94952,0.639035,190.068,56.287,12513.1,0.0676225,0.530008,3.94952,0.639035
-122.138,0.122716,0.00538892,8,511,0,130.832,-0.769053,0.0678061,0.514185,3.93758,0.627476,160.347,56.6219,12230.9,0.0678061,0.514185,3.93758,0.627476
-119.641,0.843417,0.000706473,10,1023,0,127.786,-0.766911,0.133234,0.399338,1.33562,1.10596,18.2221,31.8493,12233.1,0.133234,0.399338,1.33562,1.10596
-117.42,0.995085,0.000865771,10,1023,0,126.005,-1.11598,0.0702488,0.57194,0.608822,0.503824,104.069,46.6606,11884,0.0702488,0.57194,0.608822,0.503824
-112.044,0.842232,0.00168141,8,511,0,119.651,-0.79203,0.115472,0.532997,0.783089,0.452519,78.0583,43.4973,12208,0.115472,0.532997,0.783089,0.452519
-112.039,0.720347,0.00204692,9,511,0,113.202,-0.786417,0.111103,0.531455,0.758352,0.447146,77.7118,42.7444,12213.6,0.111103,0.531455,0.758352,0.447146
-110.608,0.995577,0.00173098,9,511,0,117.193,-1.08593,0.0508141,0.605887,0.791912,0.391073,42.1436,31.4788,11914.1,0.0508141,0.605887,0.791912,0.391073
-110.684,0.336823,0.00331785,9,1023,0,114.353,-1.0771,0.0510407,0.606384,0.782195,0.4023,40.5261,30.8993,11922.9,0.0510407,0.606384,0.782195,0.4023
-110.014,0.997744,0.000913223,10,1023,0,113.927,-1.86396,0.0805356,0.39322,0.564745,0.210364,34.0801,46.8303,11136,0.0805356,0.39322,0.564745,0.210364
-109.112,0.989314,0.00175616,10,1023,0,116.673,-1.47655,0.119344,0.466738,0.482481,0.11665,37.8806,51.3815,11523.5,0.119344,0.466738,0.482481,0.11665
-105.965,0.481937,0.00326252,10,1023,0,112.092,-0.158077,0.032198,0.548554,0.182208,0.0296434,34.3901,28.5087,12841.9,0.032198,0.548554,0.182208,0.0296434
-110.271,0.70844,0.00140819,10,1023,0,116.436,-2.58886,0.0611725,0.912322,0.377893,0.0439804,47.0255,33.7995,10411.1,0.0611725,0.912322,0.377893,0.0439804
-104.093,0.903291,0.00117178,10,1023,0,114.432,-0.618422,0.049594,0.875944,0.270601,0.0279088,31.5259,10.034,12381.6,0.049594,0.875944,0.270601,0.0279088
-104.661,0.986344,0.00169133,10,1023,0,109.822,0.899138,0.0281775,0.715924,0.0892424,0.0120867,39.2459,19.9774,13899.1,0.0281775,0.715924,0.0892424,0.0120867
-104.628,0.999454,0.0030583,8,383,0,109.505,0.92883,0.0340485,0.837065,0.0911156,0.00879747,48.5007,18.629,13928.8,0.0340485,0.837065,0.0911156,0.00879747
-102.657,0.96186,0.00567803,8,383,0,106.033,0.357623,0.0341431,0.846492,0.160028,0.007504,35.9686,9.73021,13357.6,0.0341431,0.846492,0.160028,0.007504
-103.588,0.376623,0.00941353,8,511,0,107.24,-1.54829,0.0398971,0.885797,0.0814082,0.0117872,37.8131,16.7497,11451.7,0.0398971,0.885797,0.0814082,0.0117872
-102.804,0.938853,0.0031577,10,1023,0,106.442,-1.28057,0.059044,0.755144,0.11986,0.0538669,38.8254,18.345,11719.4,0.059044,0.755144,0.11986,0.0538669
-100.79,0.998781,0.00490321,9,511,0,103.425,0.666144,0.0300439,0.254429,0.289477,0.00724885,40.7517,13.3336,13666.1,0.0300439,0.254429,0.289477,0.00724885
-104.985,0.54643,0.00887134,9,767,0,107.996,-0.320473,0.0307063,0.714304,0.159965,8.87208e-05,40.5965,12.2521,12679.5,0.0307063,0.714304,0.159965,8.87208e-05
-103.917,0.945877,0.00479317,9,511,0,105.874,-0.57078,0.0325476,0.720126,0.195909,0.000222866,39.0634,12.2653,12429.2,0.0325476,0.720126,0.195909,0.000222866
-103.338,0.36889,0.00747451,10,1023,0,106.362,-0.557135,0.0289425,0.789811,0.247399,0.000838651,34.5963,13.3012,12442.9,0.0289425,0.789811,0.247399,0.000838651
-102.585,0.999996,0.00256887,10,1023,0,106.019,-1.56457,0.0339102,0.338113,0.109178,0.0043294,36.7676,12.1934,11435.4,0.0339102,0.338113,0.109178,0.0043294
-103.163,0.62606,0.00459709,10,1023,0,105.441,-1.17585,0.0317391,0.26247,0.215038,0.000779015,33.1211,12.601,11824.1,0.0317391,0.26247,0.215038,0.000779015
-102.163,0.962499,0.00311974,10,1023,0,106.276,-0.905922,0.0380638,0.162225,0.230954,0.00312436,34.0703,10.931,12094.1,0.0380638,0.162225,0.230954,0.00312436
-102.264,0.874125,0.00501949,10,1023,0,107.343,-0.485465,0.0348384,0.217332,0.138741,0.00397241,28.6179,12.2018,12514.5,0.0348384,0.217332,0.138741,0.00397241
-103.209,0.945806,0.00641056,9,511,0,104.498,0.0227993,0.0302321,0.561353,0.110469,0.00486634,27.484,13.3537,13022.8,0.0302321,0.561353,0.110469,0.00486634
-101.034,0.865124,0.00976386,8,511,0,110.462,-0.284735,0.0405522,0.383695,0.425247,0.0216115,59.0691,14.3568,12715.3,0.0405522,0.383695,0.425247,0.0216115
-99.1843,0.592696,0.0120843,8,319,0,102.162,-0.582115,0.0372048,0.171286,0.66626,0.0119989,43.778,11.9649,12417.9,0.0372048,0.171286,0.66626,0.0119989
-102.044,0.34263,0.00759649,8,511,0,108.786,-1.34638,0.0422962,0.0639039,0.180279,0.0106356,36.8765,16.5727,11653.6,0.0422962,0.0639039,0.180279,0.0106356
-99.6629,0.998195,0.0026001,10,1023,0,110.324,-1.62488,0.0560726,0.0143033,0.306363,0.0182641,49.6454,12.143,11375.1,0.0560726,0.0143033,0.306363,0.0182641
-102.122,0.999996,0.00447059,7,127,0,104.709,-1.98368,0.0697096,0.0100235,0.445247,0.0129174,19.8047,11.6862,11016.3,0.0697096,0.0100235,0.445247,0.0129174
-100.966,0.9957,0.00765982,8,447,0,106.237,-1.43723,0.0738303,0.0228254,0.248513,0.0566335,45.2404,8.35651,11562.8,0.0738303,0.0228254,0.248513,0.0566335
-95.2909,0.99833,0.0128894,6,63,0,104.821,-0.502577,0.0672449,0.0116924,0.27939,0.0266014,22.3832,14.0064,12497.4,0.0672449,0.0116924,0.27939,0.0266014
-83.894,0.195327,0.0216661,8,511,0,100.264,0.610538,0.179568,0.00914549,3.35495,0.169131,26.9405,8.58191,13610.5,0.179568,0.00914549,3.35495,0.169131
-74.1599,0.867521,0.00537851,9,511,0,81.0809,0.539509,0.476236,0.00584447,23.1609,0.48649,31.694,4.1646,13539.5,0.476236,0.00584447,23.1609,0.48649
-72.6105,0.0734975,0.00663177,8,383,0,77.5329,0.546665,0.52226,0.00600337,22.2764,0.507046,31.549,4.4206,13546.7,0.52226,0.00600337,22.2764,0.507046
-76.1613,0.120769,0.00127017,8,511,0,79.7047,0.534193,0.51804,0.00584268,22.1036,0.513585,31.4067,4.49231,13534.2,0.51804,0.00584268,22.1036,0.513585
-73.8738,0.961035,0.000277407,10,1023,0,81.3905,0.569716,0.528895,0.0063007,22.0543,0.532413,34.0562,4.64037,13569.7,0.528895,0.0063007,22.0543,0.532413
-73.8813,0.367922,0.000430692,10,1023,0,77.246,0.389026,0.537326,0.00620283,20.7194,0.536772,29.7712,3.53226,13389,0.537326,0.00620283,20.7194,0.536772
-75.1416,0.999997,0.00017026,10,1023,0,78.0483,0.135027,0.507786,0.00623173,20.7593,0.507625,37.7191,3.78163,13135,0.507786,0.00623173,20.7593,0.507625
-71.9295,0.429399,0.000288007,10,1023,0,79.8645,0.0364824,0.493021,0.00621607,21.8343,0.466787,32.8123,3.06904,13036.5,0.493021,0.00621607,21.8343,0.466787
-74.1213,0.915714,0.000132663,10,1023,0,76.3471,0.00565422,0.496086,0.00598257,21.6003,0.479892,32.33,3.24044,13005.7,0.496086,0.00598257,21.6003,0.479892
-70.3517,0.489874,0.000184541,10,1023,0,75.9479,-0.0108914,0.458124,0.00609178,22.8746,0.464618,33.7486,3.31938,12989.1,0.458124,0.00609178,22.8746,0.464618
-70.1509,0.745662,9.84655e-05,10,1023,0,76.0676,-0.0396084,0.461628,0.00618619,22.1256,0.450487,36.6909,3.10152,12960.4,0.461628,0.00618619,22.1256,0.450487
-69.394,0.98853,9.35298e-05,10,1023,0,72.809,0.0678135,0.448209,0.00612069,22.3839,0.445476,35.2624,3.00435,13067.8,0.448209,0.00612069,22.3839,0.445476
-70.0314,0.92075,0.000152113,10,1023,0,72.2076,-0.0636687,0.439659,0.00608817,22.7029,0.433873,34.081,3.30355,12936.3,0.439659,0.00608817,22.7029,0.433873
-70.3493,0.512388,0.000211825,10,1023,0,75.0758,-0.0924048,0.439149,0.00616306,22.473,0.429102,35.5009,3.17821,12907.6,0.439149,0.00616306,22.473,0.429102
-71.4251,0.388362,0.000120245,10,1023,0,80.1821,-0.101489,0.428287,0.00622153,22.0096,0.434113,38.0231,3.23495,12898.5,0.428287,0.00622153,22.0096,0.434113
-70.3496,0.955787,5.2448e-05,10,1023,0,72.2442,-0.0892664,0.437529,0.00623508,21.9759,0.432407,37.4103,3.22347,12910.7,0.437529,0.00623508,21.9759,0.432407
-70.0843,0.999998,7.87394e-05,10,1023,0,72.8404,-0.0123356,0.445116,0.00624025,21.9776,0.437474,36.1485,3.10939,12987.7,0.445116,0.00624025,21.9776,0.437474
-69.7169,0.939752,0.000129358,10,1023,0,72.513,0.000428438,0.438903,0.00613325,22.6316,0.431271,32.4102,2.89897,13000.4,0.438903,0.00613325,22.6316,0.431271
-70.3991,0.822664,0.000185739,10,1023,0,71.8749,-0.0172502,0.412792,0.006127,22.1943,0.412095,34.8528,3.11795,12982.7,0.412792,0.006127,22.1943,0.412095
-72.2464,0.533021,0.000207028,10,1023,0,73.8587,-0.0208687,0.404185,0.00644519,21.7597,0.418174,35.4072,3.22744,12979.1,0.404185,0.00644519,21.7597,0.418174
