# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1815902455
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_rigidt_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-1.28433e+07,1,6.10352e-05,2,3,0,6.65337e+07,-1.3317,0.463102,0.31153,0.664437,0.471841,6.24553,0.257163,11668.3,0.463102,0.31153,24.3222,0.471841
-1.28433e+07,0,14.3855,0,1,1,1.28433e+07,-1.3317,0.463102,0.31153,0.664437,0.471841,6.24553,0.257163,11668.3,0.463102,0.31153,24.3222,0.471841
-1.28433e+07,0,2.43117,0,1,1,1.28433e+07,-1.3317,0.463102,0.31153,0.664437,0.471841,6.24553,0.257163,11668.3,0.463102,0.31153,24.3222,0.471841
-1.28433e+07,0,0.239791,0,1,1,1.28433e+07,-1.3317,0.463102,0.31153,0.664437,0.471841,6.24553,0.257163,11668.3,0.463102,0.31153,24.3222,0.471841
-1.28433e+07,0,0.0186273,0,1,1,1.28433e+07,-1.3317,0.463102,0.31153,0.664437,0.471841,6.24553,0.257163,11668.3,0.463102,0.31153,24.3222,0.471841
-1.28433e+07,0,0.00130482,0,1,1,1.28433e+07,-1.3317,0.463102,0.31153,0.664437,0.471841,6.24553,0.257163,11668.3,0.463102,0.31153,24.3222,0.471841
-6.98683e+06,1,8.85015e-05,1,1,0,1.16476e+07,-1.34069,0.417195,0.311389,0.664486,0.520175,6.24707,0.284291,11659.3,0.417195,0.311389,24.3224,0.520175
-3.18362e+06,1,0.000135987,2,3,0,6.09153e+06,-1.35233,0.364706,0.311235,0.664754,0.590252,6.25065,0.323322,11647.7,0.364706,0.311235,24.3238,0.590252
-1.16031e+06,1,0.000228818,1,1,0,2.65232e+06,-1.3673,0.306545,0.311015,0.66466,0.695139,6.25755,0.381382,11632.7,0.306545,0.311015,24.3233,0.695139
-377063,1,0.000408639,1,1,0,946523,-1.38478,0.25132,0.310731,0.66518,0.83985,6.28269,0.460992,11615.2,0.25132,0.310731,24.3259,0.83985
-131111,1,0.000758439,4,15,0,309474,-1.40276,0.204537,0.310216,0.664019,1.02355,6.37305,0.565148,11597.2,0.204537,0.310216,24.3201,1.02355
-56838.2,1,0.00144197,2,3,0,111327,-1.42524,0.166554,0.30996,0.663329,1.24855,6.65964,0.707633,11574.8,0.166554,0.30996,24.3166,1.24855
-28918.7,1,0.00278004,1,1,0,50258.4,-1.45361,0.137945,0.310039,0.664214,1.49711,7.71197,0.944797,11546.4,0.137945,0.310039,24.3211,1.49711
-11608.9,1,0.00539629,1,1,0,24569.5,-1.50486,0.11883,0.310401,0.666345,1.71746,11.7045,1.4436,11495.1,0.11883,0.310401,24.3317,1.71746
-3213.72,1,0.0104922,6,63,0,9289.98,-1.57976,0.107482,0.306159,0.683986,1.87312,22.7291,2.64422,11420.2,0.107482,0.306159,24.4199,1.87312
-968.13,1,0.0203599,3,7,0,2558.88,-1.63637,0.0998925,0.30234,0.677587,1.94364,43.4125,4.82704,11363.6,0.0998925,0.30234,24.3879,1.94364
-349.288,1,0.0393257,1,1,0,778.076,-1.62378,0.0972222,0.316045,0.70905,1.95101,75.0154,9.63016,11376.2,0.0972222,0.316045,24.5453,1.95101
-172.233,1,0.0754671,1,1,0,295.819,-1.73254,0.0961543,0.313707,0.658729,1.97772,162.129,17.2853,11267.5,0.0961543,0.313707,24.2936,1.97772
-148.798,1,0.143696,2,3,0,165.67,-1.85094,0.0791747,0.279161,0.694617,2.13572,203.251,27.2287,11149.1,0.0791747,0.279161,24.4731,2.13572
-142.026,0.737624,0.271232,4,31,0,148.05,-1.80023,0.117799,0.310878,0.425342,2.43344,504.877,43.4025,11199.8,0.117799,0.310878,23.1267,2.43344
-147.352,0.98942,0.231983,5,31,0,149.72,-2.62152,0.0533596,0.998942,0.633024,0.705655,410.48,46.1796,10378.5,0.0533596,0.998942,24.1651,0.705655
-147.352,1.03436e-11,0.419116,1,2,1,156.902,-2.62152,0.0533596,0.998942,0.633024,0.705655,410.48,46.1796,10378.5,0.0533596,0.998942,24.1651,0.705655
-141.307,0.899927,0.0412542,7,207,0,152.927,-2.19219,0.145235,0.396281,0.15508,1.48609,299.505,67.5302,10807.8,0.145235,0.396281,21.7754,1.48609
-141.136,0.992308,0.057796,4,31,0,144.403,-3.10147,0.0889944,0.445978,-0.0595294,1.93905,290.427,36.6795,9898.53,0.0889944,0.445978,20.7024,1.93905
-141.516,0.961159,0.105119,6,63,0,144.683,-1.4665,0.019967,0.75719,0.917236,0.293367,360.454,46.9994,11533.5,0.019967,0.75719,25.5862,0.293367
-142.99,0.659574,0.173201,2,3,0,145.593,-1.52811,0.0263426,0.77276,0.816926,0.225136,280.922,36.8431,11471.9,0.0263426,0.77276,25.0846,0.225136
-141.837,0.996179,0.120449,5,31,0,143.195,-1.07587,0.00298961,0.357519,-1.18839,0.492987,396.202,43.3937,11924.1,0.00298961,0.357519,15.058,0.492987
-141.399,0.446556,0.216972,4,15,0,145.094,-0.140522,0.00960446,0.309625,-1.261,0.289713,233.596,42.9583,12859.5,0.00960446,0.309625,14.695,0.289713
-140.655,0.397979,0.083746,6,63,0,144.261,-1.65896,0.0167383,0.722696,0.530857,0.415846,332.431,47.4178,11341,0.0167383,0.722696,23.6543,0.415846
