# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1402255901
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_gammainc_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-7.26033e+06,1,0.00012207,1,1,0,3.31356e+07,-1.5012,0.888901,0.310733,-1.3619,1.77879,0.316048,0.254555,11498.8,0.888901,0.310733,14.1905,1.77879
-7.26033e+06,0,14.3855,0,1,1,7.26034e+06,-1.5012,0.888901,0.310733,-1.3619,1.77879,0.316048,0.254555,11498.8,0.888901,0.310733,14.1905,1.77879
-7.26033e+06,0,2.43117,0,1,1,7.26033e+06,-1.5012,0.888901,0.310733,-1.3619,1.77879,0.316048,0.254555,11498.8,0.888901,0.310733,14.1905,1.77879
-7.26033e+06,0,0.239791,0,1,1,7.26034e+06,-1.5012,0.888901,0.310733,-1.3619,1.77879,0.316048,0.254555,11498.8,0.888901,0.310733,14.1905,1.77879
-7.26033e+06,0,0.0186273,0,1,1,7.26033e+06,-1.5012,0.888901,0.310733,-1.3619,1.77879,0.316048,0.254555,11498.8,0.888901,0.310733,14.1905,1.77879
-7.26033e+06,0,0.00130482,0,1,1,7.26034e+06,-1.5012,0.888901,0.310733,-1.3619,1.77879,0.316048,0.254555,11498.8,0.888901,0.310733,14.1905,1.77879
-6.71635e+06,1,8.85015e-05,1,1,0,7.23948e+06,-1.50584,0.87676,0.310725,-1.36194,1.80367,0.328424,0.259277,11494.2,0.87676,0.310725,14.1903,1.80367
-3.62897e+06,1,0.000135987,3,7,0,6.55133e+06,-1.54201,0.787857,0.310703,-1.36224,2.00759,0.447792,0.300879,11458,0.787857,0.310703,14.1888,2.00759
-2.8416e+06,1,0.000228818,1,1,0,3.54401e+06,-1.5566,0.757826,0.310733,-1.36178,2.08668,0.508498,0.32038,11443.4,0.757826,0.310733,14.1911,2.08668
-1.56998e+06,1,0.000408639,1,1,0,2.57939e+06,-1.59206,0.689938,0.310812,-1.36209,2.29082,0.69562,0.376236,11407.9,0.689938,0.310812,14.1895,2.29082
-547183,1,0.000758439,1,1,0,1.29877e+06,-1.6554,0.591993,0.310971,-1.36136,2.66948,1.23398,0.523446,11344.6,0.591993,0.310971,14.1932,2.66948
-161772,1,0.00144197,1,1,0,442113,-1.72432,0.512872,0.310889,-1.35982,3.07391,2.3681,0.849781,11275.7,0.512872,0.310889,14.2009,3.07391
-45173.4,1,0.00278004,1,1,0,129356,-1.78778,0.462855,0.311124,-1.36175,3.39214,4.51518,1.54288,11212.2,0.462855,0.311124,14.1913,3.39214
-11986.6,1,0.00539629,4,15,0,35950.3,-1.85881,0.431249,0.311203,-1.36303,3.62138,8.76063,2.94968,11141.2,0.431249,0.311203,14.1848,3.62138
-3270.48,1,0.0104922,1,1,0,9545.92,-1.93449,0.411296,0.310501,-1.37968,3.74548,16.8329,5.64714,11065.5,0.411296,0.310501,14.1016,3.74548
-930.656,1,0.0203599,2,3,0,2619.77,-2.01203,0.388436,0.306072,-1.39338,3.89425,32.3688,10.9777,10988,0.388436,0.306072,14.0331,3.89425
-338.023,1,0.0393257,2,3,0,762.307,-2.06842,0.372196,0.315373,-1.38792,4.18948,61.2667,20.5673,10931.6,0.372196,0.315373,14.0604,4.18948
-190.504,1,0.0754671,2,3,0,291.091,-2.08135,0.356341,0.314215,-1.36102,4.07778,105.306,38.1025,10918.7,0.356341,0.314215,14.1949,4.07778
-151.013,1,0.143696,2,3,0,181.304,-1.99344,0.325423,0.309192,-1.12196,2.6978,209.807,59.5446,11006.6,0.325423,0.309192,15.3902,2.6978
-149.919,0.826325,0.271232,2,3,0,151.084,-1.93778,0.488855,0.369534,-1.06299,1.6324,337.942,155.454,11062.2,0.488855,0.369534,15.6851,1.6324
-150.155,0.343837,0.302208,3,15,0,152.196,-1.84263,0.213427,0.277844,-1.6966,1.70391,209.191,61.7142,11157.4,0.213427,0.277844,12.517,1.70391
-156.214,0.725104,0.0807794,2,3,0,157.789,-1.93613,0.20135,0.252796,-1.59814,1.84601,201.674,47.3593,11063.9,0.20135,0.252796,13.0093,1.84601
-155.61,0.381734,0.0675518,6,95,0,162.02,-0.845108,0.0492621,0.538474,-1.19528,1.42002,377.858,253.834,12154.9,0.0492621,0.538474,15.0236,1.42002
-150.05,0.99484,0.020899,4,31,0,159.168,-0.784603,0.0500751,0.541471,-1.39485,1.24211,300.224,157.796,12215.4,0.0500751,0.541471,14.0258,1.24211
-149.568,0.760121,0.0386234,5,55,0,154.08,-0.742495,0.101958,0.358519,-0.307494,1.64512,284.317,138.959,12257.5,0.101958,0.358519,19.4625,1.64512
-149.981,0.646371,0.0361389,6,95,0,152.308,-0.592528,0.10196,0.450311,-0.251395,1.54145,285.02,147.234,12407.5,0.10196,0.450311,19.743,1.54145
-151.169,0.635783,0.024535,8,255,0,154.825,-2.15294,0.0156598,0.701508,0.302467,1.04848,324.851,67.3032,10847.1,0.0156598,0.701508,22.5123,1.04848
-150.029,0.679902,0.0162794,8,255,0,152.012,-1.63979,0.0144243,0.617081,-0.391005,1.28482,303.681,117.827,11360.2,0.0144243,0.617081,19.045,1.28482
-150.489,0.877325,0.0123009,8,255,0,152.468,-0.876549,0.0205396,0.223846,0.0649033,0.392783,370.944,114.555,12123.5,0.0205396,0.223846,21.3245,0.392783
-139.175,0.993758,0.0161103,7,191,0,153.685,-0.541721,0.298717,0.00249135,-0.41847,0.989653,26.824,81.725,12458.3,0.298717,0.00249135,18.9076,0.989653
-133.23,0.999688,0.0288951,5,31,0,142.948,-0.978006,0.270047,0.0079458,0.268633,2.15796,156.225,83.7726,12022,0.270047,0.0079458,22.3432,2.15796
-105.908,0.890879,0.052161,4,15,0,136.408,-1.60094,0.752383,0.00740654,0.000407296,0.847509,28.812,65.1495,11399.1,0.752383,0.00740654,21.002,0.847509
-106.277,0.0670673,0.0695595,4,31,0,109.781,-1.62668,0.762822,0.00825941,0.152498,0.838343,30.8929,70.746,11373.3,0.762822,0.00825941,21.7625,0.838343
-99.1157,0.796606,0.0102182,6,63,0,113.516,-1.37046,1.03901,0.0065821,0.340088,0.691841,19.7292,30.1718,11629.5,1.03901,0.0065821,22.7004,0.691841
-92.9605,0.575731,0.0107025,7,127,0,100.437,-1.41659,1.18276,0.00655641,-0.144383,0.491553,27.1231,13.5442,11583.4,1.18276,0.00655641,20.2781,0.491553
-85.6504,0.646314,0.00626605,8,511,0,92.7501,-0.363068,0.983665,0.00601303,0.11067,0.474162,35.131,6.74966,12636.9,0.983665,0.00601303,21.5533,0.474162
-83.4713,0.183648,0.00444692,8,511,0,88.3811,-0.388884,0.922591,0.00603949,0.182612,0.444463,39.1745,6.44651,12611.1,0.922591,0.00603949,21.9131,0.444463
-81.6489,0.161934,0.000957778,10,1023,0,85.5992,-0.390036,0.934835,0.00610748,0.191445,0.447567,39.0948,6.47894,12610,0.934835,0.00610748,21.9572,0.447567
-85.4818,0.987761,0.000199715,10,1023,0,89.0538,-0.322764,1.03619,0.00587846,0.19474,0.453173,40.2091,6.2991,12677.2,1.03619,0.00587846,21.9737,0.453173
