# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=759896450
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_stiffsolve_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-3.39557e+06,1,0.00012207,1,1,0,3.24788e+07,1.19649,1.57254,0.211806,1.86365,3.65329,0.867576,0.446692,14196.5,1.57254,0.211806,30.3183,3.65329
-3.39557e+06,0,14.3855,0,1,1,3.39557e+06,1.19649,1.57254,0.211806,1.86365,3.65329,0.867576,0.446692,14196.5,1.57254,0.211806,30.3183,3.65329
-3.39557e+06,0,2.43117,0,1,1,3.39557e+06,1.19649,1.57254,0.211806,1.86365,3.65329,0.867576,0.446692,14196.5,1.57254,0.211806,30.3183,3.65329
-3.39557e+06,0,0.239791,0,1,1,3.39557e+06,1.19649,1.57254,0.211806,1.86365,3.65329,0.867576,0.446692,14196.5,1.57254,0.211806,30.3183,3.65329
-3.39557e+06,0,0.0186273,0,1,1,3.39557e+06,1.19649,1.57254,0.211806,1.86365,3.65329,0.867576,0.446692,14196.5,1.57254,0.211806,30.3183,3.65329
-3.39557e+06,0,0.00130482,0,1,1,3.39557e+06,1.19649,1.57254,0.211806,1.86365,3.65329,0.867576,0.446692,14196.5,1.57254,0.211806,30.3183,3.65329
-3.23703e+06,1,8.85015e-05,1,1,0,3.39135e+06,1.19437,1.5546,0.211796,1.86376,3.69581,0.881311,0.451632,14194.4,1.5546,0.211796,30.3188,3.69581
-2.18849e+06,1,0.000135987,2,3,0,3.19423e+06,1.17721,1.41377,0.211777,1.8641,4.06146,1.01313,0.493146,14177.2,1.41377,0.211777,30.3205,4.06146
-1.11968e+06,1,0.000228818,6,63,0,2.12849e+06,1.14474,1.22492,0.211797,1.86405,4.68955,1.34951,0.563403,14144.7,1.22492,0.211797,30.3202,4.68955
-407981,1,0.000408639,2,3,0,1.06974e+06,1.09446,1.02301,0.211751,1.86443,5.62476,2.19035,0.666891,14094.5,1.02301,0.211751,30.3221,5.62476
-285748,1,0.000758439,1,1,0,390523,1.07752,0.966837,0.211746,1.86339,5.95391,2.61985,0.704925,14077.5,0.966837,0.211746,30.3169,5.95391
-118442,1,0.00144197,1,1,0,243613,1.03028,0.840167,0.212,1.86234,6.85192,4.10573,0.812895,14030.3,0.840167,0.212,30.3117,6.85192
-33904.3,1,0.00278004,1,1,0,95063.9,0.965623,0.690376,0.212219,1.86513,8.32533,8.07552,1.02896,13965.6,0.690376,0.212219,30.3257,8.32533
-11001.9,1,0.00539629,3,7,0,27702.1,0.899265,0.594029,0.21375,1.86787,9.65537,15.4994,1.42673,13899.3,0.594029,0.21375,30.3393,9.65537
-3316.83,1,0.0104922,1,1,0,8891.13,0.850436,0.539124,0.212378,1.85036,10.6937,30.0961,2.42052,13850.4,0.539124,0.212378,30.2518,10.6937
-1007.11,1,0.0203599,4,15,0,2656.66,0.843851,0.514946,0.211847,1.8532,10.8888,56.1502,4.72902,13843.9,0.514946,0.211847,30.266,10.8888
-370.845,1,0.0393257,2,3,0,833.174,0.6929,0.491425,0.21079,1.88368,10.2851,108.384,9.22677,13692.9,0.491425,0.21079,30.4184,10.2851
-220.507,1,0.0754671,1,1,0,325.31,0.563348,0.528857,0.219558,1.89081,8.87284,181.054,16.1253,13563.3,0.528857,0.219558,30.454,8.87284
-165.786,1,0.143696,2,3,0,203.838,0.473339,0.565589,0.245881,2.01849,4.99346,310.613,26.7894,13473.3,0.565589,0.245881,31.0925,4.99346
-165.786,8.79984e-16,0.271232,4,18,1,168.989,0.473339,0.565589,0.245881,2.01849,4.99346,310.613,26.7894,13473.3,0.565589,0.245881,31.0925,4.99346
-144.995,0.971802,0.0257257,6,63,0,171.993,-2.56399,0.0172753,0.119059,0.127659,0.134095,188.401,32.3141,10436,0.0172753,0.119059,21.6383,0.134095
-145.183,0.769772,0.0449375,5,63,0,152.022,-1.52065,0.016825,0.0988249,-0.164026,0.166867,502.524,63.7534,11479.3,0.016825,0.0988249,20.1799,0.166867
-139.607,0.998178,0.0430494,4,31,0,150.401,-1.41925,0.0246638,0.0328236,-0.227187,0.292307,356.115,44.4697,11580.8,0.0246638,0.0328236,19.8641,0.292307
-132.814,0.572436,0.080216,5,63,0,142.677,-1.37653,0.0375917,0.016259,-0.21434,0.293434,163.154,46.4575,11623.5,0.0375917,0.016259,19.9283,0.293434
-127.043,0.574564,0.0433859,4,23,0,135.835,-1.44873,0.0449833,0.00619426,-0.175714,0.270883,158.235,30.1174,11551.3,0.0449833,0.00619426,20.1214,0.270883
-98.6542,0.759851,0.0238669,6,95,0,110.885,-2.5701,0.0512842,0.00798861,0.383799,0.110835,9.42207,32.0258,10429.9,0.0512842,0.00798861,22.919,0.110835
-85.2099,0.508999,0.0224261,5,55,0,98.5081,-2.59371,0.0929378,0.00777627,0.314056,0.0769145,11.5141,18.8179,10406.3,0.0929378,0.00777627,22.5703,0.0769145
-84.2655,0.11641,0.01043,8,271,0,87.6589,-2.54105,0.0648057,0.00816801,0.153402,0.0878843,10.0932,18.7698,10458.9,0.0648057,0.00816801,21.767,0.0878843
-83.8821,0.0722983,0.00164689,10,1023,0,87.4034,-2.5376,0.0656697,0.00804286,0.203237,0.0883346,10.5331,18.7909,10462.4,0.0656697,0.00804286,22.0162,0.0883346
-84.4536,0.383079,0.000237492,10,1023,0,87.8178,-2.53089,0.0646262,0.00802562,0.220573,0.0891421,10.5655,19.3545,10469.1,0.0646262,0.00802562,22.1029,0.0891421
-84.983,0.945586,8.2853e-05,10,1023,0,87.6954,-2.47713,0.0586375,0.00809203,0.162765,0.0840258,10.4206,18.897,10522.9,0.0586375,0.00809203,21.8138,0.0840258
-84.8956,0.9596,0.000135527,10,1023,0,88.2314,-2.4236,0.0613462,0.00800165,0.155638,0.0876494,10.8215,19.2341,10576.4,0.0613462,0.00800165,21.7782,0.0876494
