# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1577154083
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_td12_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-9019.87,1,0.00390625,1,1,0,133578,0.048578,1.55039,0.379654,-0.852282,10.0884,14.4624,3.45957,13048.6,1.55039,0.379654,16.7386,10.0884
-9019.87,0,14.3855,0,1,1,9023.69,0.048578,1.55039,0.379654,-0.852282,10.0884,14.4624,3.45957,13048.6,1.55039,0.379654,16.7386,10.0884
-9019.87,0,2.43117,0,1,1,9021.35,0.048578,1.55039,0.379654,-0.852282,10.0884,14.4624,3.45957,13048.6,1.55039,0.379654,16.7386,10.0884
-9019.87,0,0.239791,0,1,1,9025.65,0.048578,1.55039,0.379654,-0.852282,10.0884,14.4624,3.45957,13048.6,1.55039,0.379654,16.7386,10.0884
-589.12,1,0.0186273,2,3,0,8572.02,-0.0799827,1.01793,0.379472,-0.875428,15.1573,55.5726,19.5632,12920,1.01793,0.379472,16.6229,15.1573
-311.276,1,0.0257257,4,15,0,576.635,-0.198609,1.02194,0.354994,-0.831702,10.5811,94.6595,27.1275,12801.4,1.02194,0.354994,16.8415,10.5811
-213.034,1,0.0404064,2,3,0,306.305,-0.153909,0.9589,0.368025,-0.789134,8.0773,155.059,37.1941,12846.1,0.9589,0.368025,17.0543,8.0773
-166.007,1,0.0687243,2,3,0,213.803,0.0383182,0.844184,0.381691,-0.585174,5.93883,272.166,63.0315,13038.3,0.844184,0.381691,18.0741,5.93883
-161.482,0.912608,0.122801,4,15,0,167.945,0.218992,0.726298,0.404267,-0.564417,5.5262,290.019,72.9018,13219,0.726298,0.404267,18.1779,5.5262
-154.433,0.928932,0.171553,4,15,0,161.796,0.0990548,0.199917,0.431994,-1.1929,0.830736,478.517,215.253,13099.1,0.199917,0.431994,15.0355,0.830736
-149.538,0.259821,0.256459,4,15,0,154.44,0.331918,0.121128,0.446434,-1.06736,0.660069,275.171,76.4707,13331.9,0.121128,0.446434,15.6632,0.660069
-149.286,0.392195,0.0467524,6,127,0,152.362,-2.3285,0.0381545,0.314822,-1.5226,1.25169,221.178,68.1528,10671.5,0.0381545,0.314822,13.387,1.25169
-147.995,0.500541,0.0131545,7,255,0,151.21,-2.20195,0.0370842,0.318295,-1.20012,0.702563,256.079,107.993,10798,0.0370842,0.318295,14.9994,0.702563
-147.63,0.629528,0.00529734,9,511,0,153.677,-0.552022,0.0993331,0.613973,-1.43042,2.24621,279.698,83.1586,12448,0.0993331,0.613973,13.8479,2.24621
-147.618,0.783468,0.00324489,9,767,0,149.462,-0.761459,0.0916224,0.646694,-1.17082,1.97499,243.344,75.1961,12238.5,0.0916224,0.646694,15.1459,1.97499
-147.858,0.197027,0.00324305,9,1023,0,151.74,-0.733722,0.0748335,0.665881,-1.46353,1.48829,394.886,87.113,12266.3,0.0748335,0.665881,13.6824,1.48829
-150.221,0.536398,0.000536262,12,4095,0,152.592,-0.753932,0.0577072,0.626303,-0.882973,1.93964,491.758,95.9877,12246.1,0.0577072,0.626303,16.5851,1.93964
-151.918,0.653914,0.000257834,12,4095,0,156.235,-1.27499,0.0333929,0.592497,-0.219295,1.59161,211.648,67.6455,11725,0.0333929,0.592497,19.9035,1.59161
-149.233,0.617867,0.000179752,12,4095,0,154.314,-1.46139,0.0457894,0.590027,-0.790965,1.36962,436.602,91.0784,11538.6,0.0457894,0.590027,17.0452,1.36962
-149.758,1,0.000113494,12,4095,0,150.07,-1.49923,0.048436,0.593848,-0.785952,1.39021,456.872,100.922,11500.8,0.048436,0.593848,17.0702,1.39021
-150.086,0.999898,0.00022625,12,4095,0,152.375,-0.867187,0.0466977,0.784801,-0.761382,0.78378,242.02,76.1541,12132.8,0.0466977,0.784801,17.1931,0.78378
-148.599,0.999661,0.000446777,11,2047,0,150.779,-0.977592,0.0530399,0.802554,-0.659097,0.572542,365.697,89.8172,12022.4,0.0530399,0.802554,17.7045,0.572542
-148.608,0.806554,0.000873083,12,4095,0,151.21,-1.473,0.062089,0.464202,1.39641,0.395061,331.014,72.4851,11527,0.062089,0.464202,27.982,0.395061
-152.846,0.834996,0.000963536,11,4095,0,157.899,-4.96855,0.0334576,0.463604,-2.01753,1.22493,184.073,89.1823,8031.45,0.0334576,0.463604,10.9123,1.22493
-150.742,0.317684,0.00115332,12,4095,0,159.25,-3.64949,0.163674,0.789932,-2.06654,1.76648,234.989,133.719,9350.51,0.163674,0.789932,10.6673,1.76648
-151.05,0.314469,0.000314125,12,4095,0,155.713,-3.50447,0.140048,0.830125,-1.91955,2.00388,178.624,148.474,9495.53,0.140048,0.830125,11.4023,2.00388
-150.485,0.999798,8.67269e-05,12,4095,0,153.64,-3.53645,0.137604,0.854888,-2.07802,1.75304,154.538,125.346,9463.55,0.137604,0.854888,10.6099,1.75304
-149.158,0.999977,0.000167826,12,4095,0,155.339,-3.01751,0.0662316,0.899289,-2.00064,2.02289,229.933,91.9788,9982.49,0.0662316,0.899289,10.9968,2.02289
-145.723,0.732692,0.000321422,12,4095,0,150.293,-3.39334,0.0451092,0.761007,-2.61921,0.968143,135.308,76.7377,9606.66,0.0451092,0.761007,7.90397,0.968143
-146.247,0.492181,0.000291115,12,4095,0,147.899,-3.31013,0.0295743,0.70749,-2.70296,1.42145,158.252,91.5481,9689.87,0.0295743,0.70749,7.48521,1.42145
-146.246,0.557385,0.000136694,12,4095,0,150.249,-3.18991,0.0284373,0.682009,-2.74833,1.42019,166.698,92.0283,9810.09,0.0284373,0.682009,7.25837,1.42019
