# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1577154083
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=model1_samples_stiffsolve_td12_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,gamma,tau,tp,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-52227,1,0.00195312,1,1,0,257832,-2.01156,1.59975,0.794963,-1.57746,2.09477,3.07224,7.50297,10988.4,1.59975,0.794963,13.1127,2.09477
-52227,0,14.3855,0,1,1,52232,-2.01156,1.59975,0.794963,-1.57746,2.09477,3.07224,7.50297,10988.4,1.59975,0.794963,13.1127,2.09477
-52227,0,2.43117,0,1,1,52232.1,-2.01156,1.59975,0.794963,-1.57746,2.09477,3.07224,7.50297,10988.4,1.59975,0.794963,13.1127,2.09477
-52227,0,0.239791,0,1,1,52230,-2.01156,1.59975,0.794963,-1.57746,2.09477,3.07224,7.50297,10988.4,1.59975,0.794963,13.1127,2.09477
-52227,0,0.0186273,0,1,1,52228.4,-2.01156,1.59975,0.794963,-1.57746,2.09477,3.07224,7.50297,10988.4,1.59975,0.794963,13.1127,2.09477
-17187,1,0.00130482,4,15,0,51061.5,-2.0655,1.49971,0.795291,-1.57019,2.24793,5.62376,8.05263,10934.5,1.49971,0.795291,13.1491,2.24793
-12150.3,1,0.00189104,2,3,0,17005.9,-2.08916,1.44039,0.795308,-1.56974,2.34982,6.75625,8.38976,10910.8,1.44039,0.795308,13.1513,2.34982
-10251,1,0.00305706,1,1,0,12002.5,-2.09959,1.41144,0.795633,-1.56915,2.40236,7.3913,8.58461,10900.4,1.41144,0.795633,13.1542,2.40236
-6718.99,1,0.00530085,1,1,0,9667.01,-2.12584,1.3371,0.795568,-1.56729,2.55382,9.23251,9.09718,10874.2,1.3371,0.795568,13.1636,2.55382
-2786.93,1,0.00961161,5,31,0,5710.51,-2.1791,1.19043,0.796479,-1.5582,2.94741,14.7369,10.347,10820.9,1.19043,0.796479,13.209,2.94741
-886.334,1,0.0179176,2,3,0,2244.13,-2.2422,1.00047,0.791845,-1.5513,3.61547,27.6419,12.9402,10757.8,1.00047,0.791845,13.2435,3.61547
