# Sample generated by Stan,,,,,,,,,,,,,,,,,,
# stan_version_major=2,,,,,,,,,,,,,,,,,,
# stan_version_minor=16,,,,,,,,,,,,,,,,,,
# stan_version_patch=0,,,,,,,,,,,,,,,,,,
# init=random,,,,,,,,,,,,,,,,,,
# enable_random_init=1,,,,,,,,,,,,,,,,,,
# seed=478165743,,,,,,,,,,,,,,,,,,
# chain_id=1,,,,,,,,,,,,,,,,,,
# iter=2000,,,,,,,,,,,,,,,,,,
# warmup=1000,,,,,,,,,,,,,,,,,,
# save_warmup=1,,,,,,,,,,,,,,,,,,
# thin=1,,,,,,,,,,,,,,,,,,
# refresh=1,,,,,,,,,,,,,,,,,,
# stepsize=1,,,,,,,,,,,,,,,,,,
# stepsize_jitter=0,,,,,,,,,,,,,,,,,,
# adapt_engaged=1,,,,,,,,,,,,,,,,,,
# adapt_gamma=0.05,,,,,,,,,,,,,,,,,,
# adapt_delta=0.8,,,,,,,,,,,,,,,,,,
# adapt_kappa=0.75,,,,,,,,,,,,,,,,,,
# adapt_t0=10,,,,,,,,,,,,,,,,,,
# max_treedepth=10,,,,,,,,,,,,,,,,,,
# sampler_t=NUTS(diag_e),,,,,,,,,,,,,,,,,,
# sample_file=./model1_samples_1.csv,,,,,,,,,,,,,,,,,,
# append_samples=0,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,M,gamma,tau,t_peak,mu,sigma.1,sigma.2,theta.1,theta.2,theta.3,theta.4,theta.5
-191497,1,0.000976562,1,1,0,550323,0.145663,0.276441,0.20058,9.90212,0.303824,0.368689,1.49235,0.145663,0.276441,0.20058,9.90212,0.303824
-191497,0,14.3855,0,1,1,191504,0.145663,0.276441,0.20058,9.90212,0.303824,0.368689,1.49235,0.145663,0.276441,0.20058,9.90212,0.303824
-191497,0,2.43117,0,1,1,191501,0.145663,0.276441,0.20058,9.90212,0.303824,0.368689,1.49235,0.145663,0.276441,0.20058,9.90212,0.303824
-191497,0,0.239791,0,1,1,191500,0.145663,0.276441,0.20058,9.90212,0.303824,0.368689,1.49235,0.145663,0.276441,0.20058,9.90212,0.303824
-191497,0,0.0186273,0,1,1,191502,0.145663,0.276441,0.20058,9.90212,0.303824,0.368689,1.49235,0.145663,0.276441,0.20058,9.90212,0.303824
-103969,1,0.00130482,3,7,0,173276,0.145774,0.275772,0.200365,9.88917,0.303843,0.506652,1.50743,0.145774,0.275772,0.200365,9.88917,0.303843
-53794,1,0.00189104,4,15,0,92928.8,0.146118,0.275928,0.200712,9.86766,0.302865,0.722162,1.53728,0.146118,0.275928,0.200712,9.86766,0.302865
-24484.9,1,0.00305706,1,1,0,46543.3,0.146232,0.276441,0.200764,9.88388,0.302069,1.13427,1.61681,0.146232,0.276441,0.200764,9.88388,0.302069
-10319.7,1,0.00530085,2,3,0,20819.3,0.145984,0.276859,0.200176,9.92033,0.300457,1.95527,1.8505,0.145984,0.276859,0.200176,9.92033,0.300457
-3887.98,1,0.00961161,1,1,0,8621.82,0.145871,0.276022,0.199263,9.92659,0.300912,3.53795,2.61896,0.145871,0.276022,0.199263,9.92659,0.300912
