# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=421250892
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=smooth_K_beta_fit_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,s,sigma.1,sigma.2,theta.1
-66.0545,1,0.25,2,3,0,70.8711,1.9618,1.79056,5.73423,0.49045
-66.0545,0,10.1835,0,1,1,67.9869,1.9618,1.79056,5.73423,0.49045
-66.0545,1.5002e-203,0.99273,1,2,1,67.2174,1.9618,1.79056,5.73423,0.49045
-59.5016,0.995346,0.0525042,4,23,0,67.0762,0.735648,1.68267,2.15638,0.183912
-58.9164,0.999908,0.0364902,4,15,0,59.7864,0.799258,1.5465,1.95975,0.199814
-59.28,0.99968,0.0294417,5,31,0,59.7627,0.717955,0.884106,1.13554,0.179489
-60.8571,0.999072,0.0259149,6,63,0,61.4898,1.28588,2.66903,1.88662,0.321469
-60.4613,0.99946,0.0241497,5,63,0,63.5977,1.09131,0.970132,3.10058,0.272827
-59.4438,0.999758,0.0234725,5,63,0,60.8729,0.952796,0.861772,2.34082,0.238199
-59.5419,0.999746,0.0235085,6,63,0,61.6067,1.66574,1.16058,1.93522,0.416435
-58.6202,0.99993,0.0240415,5,31,0,59.9999,1.16252,1.71436,1.48004,0.29063
-59.6933,0.998946,0.0249778,5,31,0,61.4287,1.01191,0.691753,1.41635,0.252977
-58.7364,0.999993,0.026159,5,31,0,60.1369,1.27828,1.73558,1.31121,0.31957
-59.0655,0.998324,0.0277105,5,31,0,61.4447,0.653372,1.67395,1.53622,0.163343
-59.2767,0.999149,0.0293736,5,63,0,60.73,0.632401,0.88398,1.92598,0.1581
-58.5271,0.997898,0.0313497,6,63,0,60.9719,0.651003,1.14345,1.44163,0.162751
-58.4809,0.999972,0.0334297,5,31,0,58.6591,0.682108,1.03643,1.57067,0.170527
-58.7441,0.997422,0.0359486,5,47,0,60.7421,1.38344,0.952634,1.26459,0.345861
-58.6719,0.999513,0.0384073,5,31,0,59.6545,0.806487,1.51433,1.8022,0.201622
-58.7999,0.999099,0.0413256,5,31,0,59.5427,1.04505,0.809955,1.27241,0.261262
-59.596,0.996823,0.0444219,4,31,0,60.5234,1.46798,2.13186,1.36163,0.366995
-59.5141,0.998472,0.0474267,5,31,0,60.7982,0.90745,1.80883,1.07499,0.226862
-58.9112,0.993312,0.050869,3,15,0,61.8925,0.947476,1.67236,1.16181,0.236869
-58.8338,0.999377,0.0537217,4,31,0,60.2247,0.663866,0.939218,1.33577,0.165967
-58.3031,0.998638,0.0577115,4,31,0,59.6628,1.10884,1.21983,1.13688,0.277209
-59.5521,0.993992,0.0618158,4,15,0,60.1049,1.37985,2.10043,1.22591,0.344962
-58.1079,0.998352,0.0652889,4,15,0,60.1303,1.09416,0.995072,1.53182,0.273539
-59.5308,0.983317,0.0697566,3,15,0,59.866,1.33314,0.791918,1.62211,0.333284
-60.8077,0.986735,0.0714037,4,23,0,61.5796,1.1264,0.632052,1.61355,0.281599
-61.058,0.999113,0.0737601,4,15,0,61.3241,1.15444,0.619979,1.53798,0.288611
-58.129,1,0.0787818,3,7,0,61.2887,1.1006,1.22476,1.21741,0.275149
-58.1286,0.996321,0.0842566,4,15,0,58.6108,0.812176,1.11483,1.52766,0.203044
-58.8035,0.990691,0.0891225,3,7,0,58.9096,0.820533,0.879815,1.19516,0.205133
-58.9192,0.998432,0.0927722,2,3,0,58.963,0.819874,0.848367,1.20128,0.204969
-59.8154,0.96763,0.0985023,4,15,0,61.0784,0.99036,1.72355,2.4262,0.24759
-59.461,1,0.0963492,2,3,0,59.8327,0.975295,1.68615,2.24793,0.243824
-60.0351,0.994306,0.102572,3,15,0,60.9448,1.52584,1.27348,2.52203,0.381459
-60.4569,0.995466,0.107482,4,15,0,60.8934,0.944526,1.4253,0.849484,0.236131
-58.5338,0.97003,0.112868,3,7,0,62.3794,0.884104,1.60646,1.50886,0.221026
-61.3408,0.984542,0.110986,4,15,0,61.9571,0.193886,1.14246,1.79589,0.0484715
-61.9046,0.991831,0.113231,3,7,0,62.3804,0.169389,1.17257,2.27888,0.0423472
-60.5786,0.951935,0.117603,3,15,0,64.9258,0.864678,2.54535,1.22082,0.21617
-60.6727,0.994228,0.110504,4,15,0,63.4424,1.11477,2.65052,1.15511,0.278693
-60.4764,0.998612,0.115377,3,7,0,61.9576,0.944023,2.58611,1.69985,0.236006
-59.1631,0.991317,0.121676,4,23,0,61.8511,0.948198,0.753356,1.29315,0.23705
-58.6336,1,0.125942,4,15,0,59.1947,1.16062,0.864069,1.2669,0.290155
-58.9493,0.977299,0.133045,3,15,0,60.054,1.458,1.62495,1.15964,0.3645
-59.7993,0.932928,0.132959,3,7,0,63.0475,1.43065,2.15187,1.72011,0.357663
-60.9368,0.987123,0.119492,3,7,0,61.5305,2.10118,2.15886,1.56973,0.525296
-58.498,1,0.122286,3,7,0,61.4879,0.670816,1.04741,1.52909,0.167704
