# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=1878713779
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=smooth_K_beta_fit_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,sigma.1,sigma.2
-70686.1,1,0.000976562,1,1,0,702898,0.676962,1.14384,6.94227
-70686.1,0,10.1835,0,1,1,70686.5,0.676962,1.14384,6.94227
-70686.1,0,0.99273,0,1,1,70686.4,0.676962,1.14384,6.94227
-70686.1,0,0.0525042,0,1,1,70687.2,0.676962,1.14384,6.94227
-42869.1,1,0.00212378,2,3,0,65381.5,0.67875,1.52053,7.21757
-15962.6,1,0.00151458,6,63,0,41992.2,0.68426,2.79015,8.39001
-14374.1,1,0.00123179,2,3,0,15943.3,0.685075,2.97682,8.63363
-13396.8,1,0.00109448,2,3,0,14365.7,0.685952,3.10307,8.83756
-13227.5,1,0.00103424,1,1,0,13398.4,0.68612,3.12916,8.86164
-13053.3,1,0.00102109,1,1,0,13227.4,0.686086,3.15266,8.90788
-11428.5,1,0.00104054,2,3,0,13042.3,0.687723,3.41636,9.29346
-11275.3,1,0.00108516,1,1,0,11428.2,0.687814,3.44124,9.34861
-11108.2,1,0.00115107,1,1,0,11274.1,0.68804,3.47212,9.39538
-10943.2,1,0.00123632,1,1,0,11108.4,0.688107,3.50088,9.45437
-10741.7,1,0.00134007,1,1,0,10942.9,0.687988,3.54252,9.50534
-9793.52,1,0.00146219,2,3,0,10731.7,0.688232,3.73939,9.83519
-9561.08,1,0.001603,1,1,0,9791.45,0.688194,3.79021,9.93262
-8518.79,1,0.00176313,2,3,0,9547.68,0.688999,4.0432,10.4144
-3215.66,1,0.00194342,4,15,0,8478.97,0.699813,7.1195,15.3847
-3025.01,1,0.0021449,2,3,0,3216.61,0.69868,7.33168,15.9015
-2981.68,1,0.00236873,2,3,0,3025.19,0.699003,7.37904,16.0314
-2941.64,1,0.00261615,1,1,0,2982.87,0.699248,7.43157,16.1357
-2055.41,1,0.00288852,3,7,0,2934.66,0.699098,9.02828,19.1037
-2030.37,1,0.00318724,1,1,0,2058.34,0.700372,9.0741,19.2382
-1993.4,1,0.00351382,1,1,0,2031.02,0.700806,9.14336,19.4531
-1791.64,1,0.00386978,2,3,0,1992.11,0.703665,9.71037,20.4065
-1759.34,1,0.00425672,1,1,0,1793.51,0.703794,9.80452,20.5897
-333.833,1,0.00467629,5,31,0,1751.36,0.712226,24.7759,48.9334
-253.592,1,0.00513016,4,15,0,334.449,0.704536,28.7812,59.1827
-239.232,0.999913,0.00562006,3,7,0,255.87,0.702978,29.2669,62.871
-229.672,0.99963,0.00614628,4,15,0,242.136,0.695626,29.6411,65.7851
-228.222,1,0.00670668,2,3,0,229.738,0.696164,29.7965,65.9702
-206.333,1,0.00731468,3,7,0,229.042,0.701611,32.7278,68.6151
-175.708,0.999325,0.00796592,3,7,0,210.314,0.681079,36.3376,79.4205
-173.033,0.998596,0.00864678,2,3,0,176.617,0.682985,36.7942,80.0829
-155.239,1,0.00935436,3,7,0,173.825,0.678644,39.8364,88.456
-129.814,0.995064,0.0101428,3,7,0,159.121,0.661299,46.947,107.245
-108.819,0.998952,0.0108426,4,15,0,133.358,0.714826,59.0909,118.666
-109.318,0.998886,0.0116928,2,3,0,109.417,0.713689,58.6992,118.039
-106.954,0.999836,0.0125905,3,7,0,109.976,0.721035,61.4635,119.615
-100.451,1,0.013572,5,31,0,107.175,0.713098,65.4819,133.855
-84.2624,0.99951,0.0146168,5,31,0,104.233,0.63857,102.814,228.191
-81.1282,0.999996,0.0157023,5,31,0,86.4831,0.760299,153.873,219.488
-81.1474,0.998723,0.0168676,6,63,0,82.7421,0.7039,194.764,488.011
-80.1943,0.999744,0.0180404,5,63,0,82.5135,0.709448,135.244,366.015
-80.2965,0.999022,0.0193203,5,63,0,82.7093,0.758428,174.122,313.401
-80.5588,0.998315,0.0206308,5,31,0,82.0822,0.726411,217.32,272.11
-81.5772,0.998911,0.0219681,5,31,0,83.0737,0.692064,102.814,380.288
-80.8317,0.99973,0.0234004,6,63,0,82.6606,0.683893,217.855,393.726
-81.0983,0.999704,0.0249482,5,31,0,81.8663,0.719448,112.709,280.394
-79.9048,0.999946,0.0265686,4,23,0,81.2778,0.704285,146.286,318.642
-82.836,0.993075,0.0282812,5,31,0,83.4139,0.600036,250.818,488.159
-84.9721,0.998278,0.029597,3,11,0,85.3405,0.532531,277.956,561.218
-82.4773,0.999095,0.0313242,5,31,0,86.1843,0.737339,128.552,564.249
-80.5493,0.998695,0.0331842,5,31,0,84.6379,0.778202,178.002,287.066
-80.8725,0.998668,0.0350905,4,15,0,81.1914,0.788573,165.948,274.604
-81.7447,0.999692,0.0370715,5,39,0,81.9472,0.823644,284.295,236.545
-81.4585,0.99969,0.0392214,5,31,0,81.9237,0.824577,190.93,291.654
-80.9933,0.992949,0.0414601,4,31,0,85.2791,0.781186,217.406,352.194
-80.1569,0.999845,0.0431375,4,15,0,81.2089,0.747333,165.507,284.314
-80.4014,0.998687,0.045544,5,31,0,80.6828,0.759683,186.751,331.359
-84.65,0.982266,0.047924,4,15,0,85.1521,0.745851,217.35,837.857
-81.2448,0.999985,0.0486127,3,11,0,84.7578,0.710708,185.063,509.487
-80.8428,0.99957,0.0512321,4,15,0,81.8409,0.675382,115.202,290.558
-80.3212,0.999957,0.0539038,4,15,0,81.4323,0.70624,150.051,252.377
-82.7281,0.957582,0.056721,3,11,0,86.4053,0.670852,288.397,485.692
-81.6283,0.999092,0.0544771,4,15,0,83.7751,0.687672,179.02,573.011
-82.5127,0.996165,0.057167,3,7,0,82.742,0.664049,213.841,618.212
-81.5614,0.999439,0.0595799,4,15,0,83.5552,0.608779,195.061,383.376
-81.1867,0.989318,0.0624871,4,15,0,83.0088,0.731223,179.286,487.363
-80.3441,0.997215,0.064122,4,15,0,82.3854,0.739123,166.258,248.919
-80.6419,0.980386,0.0668627,4,15,0,81.7552,0.727082,176.96,233.439
-81.5967,0.990551,0.067296,3,7,0,81.8862,0.753752,174.4,199.663
-80.5829,0.990223,0.0691513,4,15,0,83.4277,0.727157,133.181,384.168
-80.8745,0.997084,0.0709816,3,15,0,81.4146,0.703238,140.108,481.254
-82.7817,0.908801,0.0738576,4,15,0,87.6857,0.588506,159.941,521.638
-83.0499,1,0.0642226,5,31,0,83.7925,0.830688,369.092,336.576
