# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=655920092
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=smooth_K_samples_sparse_delta99_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-101014,0.666667,0.000244141,1,3,1,652530,1.63402,0.478519,0.329034,0.86718,14134,0.478519
-101014,0,5.55504,0,1,1,101017,1.63402,0.478519,0.329034,0.86718,14134,0.478519
-101014,0,0.452498,0,1,1,101015,1.63402,0.478519,0.329034,0.86718,14134,0.478519
-101014,0,0.0215993,0,1,1,101016,1.63402,0.478519,0.329034,0.86718,14134,0.478519
-101014,0,0.0008194,0,1,1,101014,1.63402,0.478519,0.329034,0.86718,14134,0.478519
-100862,1,2.84362e-05,2,3,0,101019,1.63361,0.478623,0.329147,0.867244,14133.6,0.478623
-100847,1,2.07747e-05,2,3,0,100862,1.63356,0.478641,0.329151,0.867257,14133.6,0.478641
-100510,1,1.72504e-05,4,15,0,100848,1.63262,0.478936,0.329348,0.867531,14132.6,0.478936
-100492,0.994406,1.56608e-05,3,7,0,100520,1.63261,0.478969,0.329367,0.867542,14132.6,0.478969
-100461,1,1.48861e-05,2,3,0,100493,1.63254,0.479,0.329393,0.86754,14132.5,0.479
-100178,0.999773,1.50809e-05,4,15,0,100466,1.63189,0.479259,0.329651,0.86776,14131.9,0.479259
-100132,1,1.5792e-05,2,3,0,100181,1.63174,0.479289,0.329671,0.867865,14131.7,0.479289
-100086,1,1.69659e-05,2,3,0,100134,1.63163,0.479314,0.329714,0.867933,14131.6,0.479314
-99144.5,0.999913,1.85653e-05,5,31,0,100086,1.62869,0.479779,0.33048,0.868844,14128.7,0.479779
-99135.7,0.995312,2.0587e-05,2,3,0,99147.8,1.62864,0.479759,0.330485,0.86885,14128.6,0.479759
-98493,1,2.27299e-05,3,7,0,99138.4,1.62658,0.480048,0.331081,0.869262,14126.6,0.480048
