# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=552193479
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=1
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-182471,1,0.000976562,1,1,0,568791,-0.172312,0.150329,3.26319,5.65111,12827.7,0.150329
-182471,0,14.3855,0,1,1,182476,-0.172312,0.150329,3.26319,5.65111,12827.7,0.150329
-182471,0,2.43117,0,1,1,182473,-0.172312,0.150329,3.26319,5.65111,12827.7,0.150329
-182471,0,0.239791,0,1,1,182471,-0.172312,0.150329,3.26319,5.65111,12827.7,0.150329
-182471,0,0.0186273,0,1,1,182472,-0.172312,0.150329,3.26319,5.65111,12827.7,0.150329
-98248.7,1,0.00130482,1,1,0,164998,-0.174023,0.151886,4.44569,5.66159,12826,0.151886
-48577.2,1,0.00189104,3,7,0,87234.2,-0.175164,0.154078,6.32004,5.66752,12824.8,0.154078
-19624.1,1,0.00305706,1,1,0,41305.4,-0.174507,0.156593,9.9426,5.64504,12825.5,0.156593
-6564.13,1,0.00530085,1,1,0,16114.7,-0.169871,0.160416,17.2113,5.63157,12830.1,0.160416
-2006.62,1,0.00961161,2,3,0,5312.38,-0.169868,0.164605,31.3717,5.58419,12830.1,0.164605
-617.216,1,0.0179176,2,3,0,1620.31,-0.170401,0.172094,58.4592,5.642,12829.6,0.172094
-221.398,1,0.0339435,1,1,0,506.134,-0.183561,0.18488,109.809,5.44981,12816.4,0.18488
-124.502,1,0.0648221,4,31,0,194.76,-0.182911,0.17127,188.537,4.49717,12817.1,0.17127
-93.7981,1,0.124086,2,3,0,114.838,-0.218945,0.159745,371.081,5.18552,12781.1,0.159745
-93.7981,0.229348,0.237148,2,7,0,99.1319,-0.218945,0.159745,371.081,5.18552,12781.1,0.159745
-86.6358,0.991452,0.041437,5,31,0,96.3507,-1.16405,1.1628,500.565,1.49478,11836,1.1628
-82.7829,0.746924,0.0775762,2,7,0,90.9276,-1.05393,0.895702,309.22,1.31797,11946.1,0.895702
-81.3097,0.903759,0.0683826,4,19,0,85.325,-0.29722,0.389346,300.421,0.846071,12702.8,0.389346
-74.037,0.779987,0.0973421,2,5,0,79.8675,-0.187576,0.682014,234.37,0.786302,12812.4,0.682014
-69.1965,0.732404,0.09513,2,5,0,72.1934,0.0699618,0.618578,190.304,0.745462,13070,0.618578
-63.5073,0.86959,0.0808003,3,7,0,68.4804,0.131287,0.58645,130.048,0.84687,13131.3,0.58645
-63.5073,6.30478e-07,0.103338,3,8,1,65.1763,0.131287,0.58645,130.048,0.84687,13131.3,0.58645
-65.161,0.981512,0.0102928,6,63,0,65.9701,0.00254981,0.604071,135.953,0.8761,13002.5,0.604071
-54.0182,0.831824,0.018496,5,37,0,64.0848,-0.48004,0.549036,45.5005,0.652026,12520,0.549036
-48.3546,0.857027,0.0213913,5,31,0,51.8859,0.00317532,0.558559,35.979,0.519948,13003.2,0.558559
-48.5258,0.204501,0.0265337,1,3,0,50.6204,-0.0373153,0.56196,35.0243,0.516943,12962.7,0.56196
-47.0094,0.994958,0.00516578,7,127,0,48.9426,0.201025,0.553631,30.3879,0.564809,13201,0.553631
-47.5463,0.915022,0.00952493,6,95,0,48.5426,-0.05657,0.558684,30.4293,0.420903,12943.4,0.558684
-47.0009,0.315273,0.0139157,6,63,0,49.6299,0.213705,0.55774,29.6988,0.592675,13213.7,0.55774
-47.3208,0.965949,0.00385589,6,127,0,51.0529,0.115112,0.549675,25.8884,0.600502,13115.1,0.549675
-46.0819,0.98191,0.00648548,7,231,0,47.7699,0.151405,0.552859,19.8329,0.930725,13151.4,0.552859
-45.7538,0.0928118,0.0112942,3,15,0,46.5726,0.14049,0.554588,19.7314,0.93375,13140.5,0.554588
-46.1574,0.996052,0.00177692,8,383,0,46.883,0.0643037,0.557899,26.7048,0.827079,13064.3,0.557899
-48.5872,0.932657,0.003218,6,127,0,50.2094,0.048599,0.54856,22.2698,0.765141,13048.6,0.54856
-47.2105,0.996992,0.00487898,5,55,0,49.0531,0.092936,0.562373,21.9286,0.783102,13092.9,0.562373
-47.235,0.966137,0.00870156,7,255,0,48.1978,0.114695,0.560239,28.6574,2.00311,13114.7,0.560239
-47.5109,0.49356,0.0141868,4,23,0,49.1541,0.136205,0.54979,26.1832,2.06843,13136.2,0.54979
-47.6731,0.961421,0.00675387,5,63,0,50.1512,-0.0726897,0.561617,29.1733,1.93757,12927.3,0.561617
