# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1300437770
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-7260.28,1,0.00390625,2,3,0,40026,0.954293,0.303883,8.70399,0.177998,13454.3,0.303883
-7260.28,0,14.3855,0,1,1,7263.54,0.954293,0.303883,8.70399,0.177998,13454.3,0.303883
-7260.28,0,2.43117,0,1,1,7262.1,0.954293,0.303883,8.70399,0.177998,13454.3,0.303883
-7260.28,0,0.239791,0,1,1,7264.21,0.954293,0.303883,8.70399,0.177998,13454.3,0.303883
-7260.28,0,0.0186273,0,1,1,7262.18,0.954293,0.303883,8.70399,0.177998,13454.3,0.303883
-5598.36,1,0.00130482,2,3,0,7243.21,0.956269,0.323463,9.07452,0.178225,13456.3,0.323463
-4855.76,1,0.00189104,1,1,0,5583.3,0.959106,0.333996,9.22336,0.178137,13459.1,0.333996
-292.906,1,0.00305706,2,3,0,4287.69,0.95315,0.452103,10.7099,0.178966,13453.1,0.452103
-65.1474,0.666707,0.00530085,1,3,0,190.962,0.955605,0.487834,10.74,0.179483,13455.6,0.487834
-54.2853,1,0.00335506,5,31,0,66.2614,0.83129,0.495534,11.7851,0.169515,13331.3,0.495534
-53.5379,0.994987,0.00624525,3,7,0,54.3672,0.830251,0.495643,11.9618,0.168868,13330.3,0.495643
-53.5379,0.0250506,0.0116592,2,5,1,54.7641,0.830251,0.495643,11.9618,0.168868,13330.3,0.495643
-38.0112,0.999315,0.00103662,7,255,0,55.7769,0.794522,0.496181,20.6213,0.175987,13294.5,0.496181
-36.2249,0.993863,0.00201663,8,255,0,39.7809,0.643958,0.489262,32.0396,0.160658,13144,0.489262
-36.3232,0.998117,0.00386754,2,3,0,36.3584,0.642934,0.488712,32.0547,0.160751,13142.9,0.488712
-39.4195,0.963089,0.0075083,7,255,0,40.5739,0.375457,0.488958,21.513,0.222413,12875.5,0.488958
-38.0243,0.971592,0.0130353,6,63,0,40.162,0.706276,0.487948,50.1704,0.129615,13206.3,0.487948
-37.0046,0.680059,0.0231243,3,15,0,40.2346,0.613917,0.489322,41.3849,0.12899,13113.9,0.489322
-35.842,0.792035,0.0168525,5,39,0,37.8679,0.432448,0.496695,31.778,0.157397,12932.4,0.496695
-35.881,0.825364,0.017319,4,25,0,39.8277,0.494908,0.496415,34.1793,0.155171,12994.9,0.496415
-35.0691,0.819941,0.0196818,6,115,0,37.3664,0.461729,0.500585,31.8315,0.47409,12961.7,0.500585
-35.1439,0.0695841,0.0219933,5,63,0,37.721,0.534514,0.491883,34.2827,0.436617,13034.5,0.491883
-35.2544,0.999264,0.00272166,4,15,0,35.4074,0.53769,0.49091,34.3764,0.438152,13037.7,0.49091
-35.2086,0.999149,0.00520839,6,95,0,36.9819,0.429838,0.492413,31.6937,0.442184,12929.8,0.492413
-34.8118,0.996797,0.00986217,7,159,0,36.5728,0.734188,0.491374,28.4105,0.750036,13234.2,0.491374
-35.0648,0.99106,0.0183585,6,127,0,35.237,0.327146,0.495168,33.2531,1.49302,12827.1,0.495168
-35.0648,0.180379,0.0332824,1,3,0,36.7785,0.327146,0.495168,33.2531,1.49302,12827.1,0.495168
-36.0339,0.999274,0.00612961,6,127,0,36.7911,0.164947,0.497593,41.3345,1.68308,12664.9,0.497593
-36.7017,0.939066,0.0113658,6,63,0,37.7863,0.119197,0.506889,41.9085,1.77207,12619.2,0.506889
-35.2167,0.664607,0.0176646,5,63,0,37.7052,0.85008,0.492222,29.2758,1.65539,13350.1,0.492222
-35.2189,0.99102,0.0128532,6,63,0,35.8932,0.783063,0.494702,29.4392,2.05757,13283.1,0.494702
-35.2189,0.000886131,0.0228147,1,1,0,36.5464,0.783063,0.494702,29.4392,2.05757,13283.1,0.494702
-36.4037,0.997038,0.00278602,8,255,0,37.9604,0.471853,0.49255,21.9412,1.86381,12971.9,0.49255
-35.2047,0.999974,0.00504037,8,383,0,38.0819,0.574312,0.491014,30.1314,0.386397,13074.3,0.491014
-35.4809,0.973731,0.00910179,8,323,0,36.5874,0.525227,0.494365,27.9173,2.82801,13025.2,0.494365
-35.9019,0.968848,0.0151943,6,63,0,35.9886,0.638853,0.491889,30.7618,3.33142,13138.9,0.491889
-36.0059,0.127437,0.024839,3,9,0,38.4972,0.616939,0.491951,31.1781,3.49323,13116.9,0.491951
