# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=1401536457
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-45770.2,1,0.00195312,1,1,0,108325,1.44595,0.229618,4.21688,3.49847,13946,0.229618
-45770.2,0,14.3855,0,1,1,45772,1.44595,0.229618,4.21688,3.49847,13946,0.229618
-45770.2,0,2.43117,0,1,1,45771.7,1.44595,0.229618,4.21688,3.49847,13946,0.229618
-45770.2,0,0.239791,0,1,1,45773.9,1.44595,0.229618,4.21688,3.49847,13946,0.229618
-45770.2,0,0.0186273,0,1,1,45772.1,1.44595,0.229618,4.21688,3.49847,13946,0.229618
-23726.7,1,0.00130482,2,3,0,44644.9,1.45035,0.253828,5.60637,3.48948,13950.4,0.253828
-18988.4,1,0.00189104,1,1,0,23371.7,1.45089,0.265477,6.09614,3.49207,13950.9,0.265477
-667.638,1,0.00305706,2,3,0,16842.3,1.44504,0.426991,10.5861,3.52943,13945,0.426991
-97.757,0.666667,0.00530085,2,3,0,412.465,1.4436,0.481392,10.7598,3.55127,13943.6,0.481392
-96.4796,0.945599,0.00335463,2,3,0,99.3054,1.44431,0.492253,10.7383,3.55429,13944.3,0.492253
-91.1839,0.943337,0.00525752,3,7,0,96.5755,1.42232,0.489556,10.7826,3.51225,13922.3,0.489556
-88.7876,0.161917,0.00833933,3,7,0,91.9659,1.41251,0.486065,10.9034,3.53764,13912.5,0.486065
-89.3366,0.997339,0.00114211,6,63,0,90.6647,1.41569,0.485351,10.9098,3.54437,13915.7,0.485351
-66.7348,0.971424,0.00220718,9,511,0,91.8572,-2.21119,0.547784,999.288,6.3719,10288.8,0.547784
-40.9989,0.994346,0.003945,9,511,0,69.4364,0.527043,0.513495,29.1366,0.17531,13027,0.513495
-37.0221,0.986655,0.00756876,7,223,0,44.7751,0.816516,0.483683,45.1119,0.423538,13316.5,0.483683
-36.4837,0.960097,0.0141276,6,127,0,37.9734,0.521722,0.504878,45.4275,0.496255,13021.7,0.504878
-37.7947,0.824207,0.0241832,4,29,0,39.345,0.743313,0.482537,50.0128,0.315955,13243.3,0.482537
-38.7249,0.491424,0.0272692,4,31,0,41.0802,1.03824,0.501628,56.3829,0.344549,13538.2,0.501628
-38.3666,0.970805,0.0113081,6,63,0,40.5496,1.00202,0.504245,49.933,0.373664,13502,0.504245
-37.798,0.851049,0.0198965,6,99,0,41.2552,0.60544,0.509238,55.6886,0.862074,13105.4,0.509238
-38.8913,0.70603,0.0243727,3,15,0,41.5937,0.594643,0.480265,66.6835,0.90059,13094.6,0.480265
-42.2771,0.988024,0.0194695,5,31,0,42.9351,0.477929,0.508396,111.178,0.718166,12977.9,0.508396
-43.9545,0.581245,0.0354621,4,31,0,49.025,0.153443,0.473485,129.088,1.26856,12653.4,0.473485
-39.1517,0.841623,0.0198108,5,35,0,45.9932,0.344676,0.480851,68.0979,1.15905,12844.7,0.480851
-35.9354,0.810622,0.0235307,4,23,0,40.9018,0.354197,0.50181,46.1101,1.00704,12854.2,0.50181
-36.1067,0.343225,0.0255333,3,15,0,38.7322,0.322671,0.49589,48.3594,0.978214,12822.7,0.49589
-34.9981,0.99808,0.00744638,7,127,0,36.54,0.563306,0.49484,23.787,1.33521,13063.3,0.49484
-35.4115,0.992242,0.0137389,5,31,0,35.7639,0.640048,0.493563,22.4073,1.31936,13140,0.493563
-35.4115,0.0136655,0.0246913,2,5,1,38.9141,0.640048,0.493563,22.4073,1.31936,13140,0.493563
-34.7891,0.994059,0.00301322,7,255,0,36.0208,0.681328,0.497563,34.0977,1.22872,13181.3,0.497563
-35.0839,0.999777,0.0054579,7,255,0,35.7776,0.511844,0.498224,33.8968,2.07347,13011.8,0.498224
-36.6441,0.989408,0.00994174,6,63,0,37.1721,0.929615,0.489038,24.2372,1.70045,13429.6,0.489038
-36.7972,0.242784,0.0174423,5,31,0,37.8422,0.95838,0.486792,25.9224,1.64304,13458.4,0.486792
-37.9743,0.992121,0.00419143,8,255,0,39.9416,0.852935,0.503114,58.9629,1.1724,13352.9,0.503114
-35.7006,0.997282,0.00738912,7,127,0,39.0353,0.309054,0.498797,24.2783,0.941046,12809.1,0.498797
-35.8683,0.859425,0.0130834,4,15,0,36.534,0.323723,0.493078,25.2216,0.99086,12823.7,0.493078
-36.0975,0.93689,0.0160674,6,63,0,36.7284,0.741263,0.496862,46.969,0.717899,13241.3,0.496862
-37.9072,0.451363,0.0239955,5,63,0,42.1214,-0.115816,0.507257,55.3714,0.88453,12384.2,0.507257
-37.4533,0.990488,0.0103301,6,127,0,39.6039,0.0230222,0.504749,54.1641,1.4583,12523,0.504749
-36.285,0.977869,0.0176129,6,63,0,39.1188,0.758939,0.49539,49.1641,1.19833,13258.9,0.49539
-41.774,0.100118,0.0288576,7,191,0,48.9443,0.854315,0.471431,55.6407,4.84619,13354.3,0.471431
-43.9001,0.982868,0.00526347,7,207,0,46.2181,1.2016,0.46224,47.0545,2.6173,13701.6,0.46224
-38.2509,0.994061,0.0087415,2,7,0,44.2704,1.21577,0.485909,45.9065,2.60977,13715.8,0.485909
-35.9964,0.909651,0.0148107,6,63,0,39.1936,0.940524,0.496019,39.0922,1.5761,13440.5,0.496019
-36.2805,1,0.0202671,4,15,0,36.3272,0.986326,0.495573,40.0677,1.67023,13486.3,0.495573
-36.2805,0.15588,0.0343598,1,3,0,36.9225,0.986326,0.495573,40.0677,1.67023,13486.3,0.495573
-34.9689,0.997275,0.00758927,6,95,0,37.6181,0.59026,0.491579,28.3324,1.76954,13090.3,0.491579
-35.4035,0.996497,0.012771,6,95,0,36.0939,0.353577,0.499378,41.7418,1.10185,12853.6,0.499378
-35.0267,0.783043,0.0212955,4,31,0,36.9325,0.49224,0.49225,36.7964,1.36875,12992.2,0.49225
-37.0881,0.66218,0.02132,5,31,0,37.5467,0.173591,0.509949,34.672,1.63853,12673.6,0.509949
-36.0861,0.966187,0.01608,6,63,0,37.1788,0.87129,0.485407,33.5341,1.6675,13371.3,0.485407
-36.0861,0.00672099,0.0246841,2,3,0,36.5408,0.87129,0.485407,33.5341,1.6675,13371.3,0.485407
-36.0017,0.999251,0.00410225,8,511,0,37.3481,0.718206,0.500576,44.563,1.19472,13218.2,0.500576
-36.594,0.981366,0.00681323,7,255,0,38.7095,0.321072,0.490101,48.7219,1.40197,12821.1,0.490101
-35.8635,0.980488,0.0107912,7,255,0,40.7206,0.710852,0.489267,26.9551,0.299275,13210.9,0.489267
-35.2288,0.863544,0.0169563,7,159,0,36.5249,0.682672,0.491017,27.3089,1.98853,13182.7,0.491017
-35.0527,0.107,0.0203526,5,31,0,36.2381,0.713698,0.494837,27.206,1.98116,13213.7,0.494837
-34.9936,0.997038,0.00447604,8,255,0,36.6639,0.295562,0.499716,32.8394,1.14329,12795.6,0.499716
-34.6936,0.999949,0.00727144,7,127,0,35.4553,0.72824,0.493529,33.6707,1.01516,13228.2,0.493529
-34.8443,0.998886,0.0118176,6,127,0,35.2648,0.424638,0.495912,36.6914,1.12217,12924.6,0.495912
-35.4268,0.818541,0.0190476,5,31,0,36.6052,0.366913,0.490292,34.3281,1.12575,12866.9,0.490292
-38.5483,0.229511,0.0205747,6,111,0,41.2603,0.0734655,0.484428,55.2788,0.60541,12573.5,0.484428
-37.7362,0.990526,0.00616703,8,279,0,40.1254,0.44144,0.481141,35.6096,1.37633,12941.4,0.481141
