# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=783910281
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_noise_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-97066.5,1,0.000976562,2,3,0,1.06072e+06,-0.650692,2.37742,9.56509,0.250063,11849.3,2.37742
-97066.5,0,14.3855,0,1,1,97067.8,-0.650692,2.37742,9.56509,0.250063,11849.3,2.37742
-97066.5,0,2.43117,0,1,1,97068.6,-0.650692,2.37742,9.56509,0.250063,11849.3,2.37742
-97066.5,0,0.239791,0,1,1,97074.1,-0.650692,2.37742,9.56509,0.250063,11849.3,2.37742
-97066.5,0,0.0186273,0,1,1,97068.2,-0.650692,2.37742,9.56509,0.250063,11849.3,2.37742
-28651.9,1,0.00130482,3,7,0,91833.9,-0.694934,2.03343,16.7541,0.251312,11805.1,2.03343
-22806.4,1,0.00189104,1,1,0,28090,-0.701346,1.9584,18.5324,0.250848,11798.7,1.9584
-4651.65,1,0.00305706,2,3,0,21220.6,-0.747051,1.51367,36.7948,0.249977,11752.9,1.51367
-3346.91,1,0.00530085,1,1,0,4488.78,-0.762926,1.40556,41.6495,0.250147,11737.1,1.40556
-1420.51,1,0.00961161,1,1,0,2898.89,-0.770463,1.14356,55.5606,0.251484,11729.5,1.14356
-253.116,1,0.0179176,1,1,0,944.03,-0.802867,0.725825,78.9861,0.248365,11697.1,0.725825
-253.116,4.74512e-227,0.0339435,1,1,0,257.199,-0.802867,0.725825,78.9861,0.248365,11697.1,0.725825
-224.873,1,0.00278004,3,7,0,255.397,-0.776042,0.68659,79.265,0.243893,11724,0.68659
-216.5,0.994048,0.00539629,3,7,0,226.869,-0.768249,0.664378,80.0841,0.240587,11731.8,0.664378
-215.351,0.997177,0.0102993,2,7,0,217.241,-0.785058,0.652514,81.0478,0.239022,11714.9,0.652514
-214.999,0.877883,0.0198138,3,7,0,216,-0.75645,0.641721,82.6519,0.241664,11743.6,0.641721
-214.28,0.0457848,0.0262886,5,31,0,217.747,-0.74723,0.644252,81.1586,0.256689,11752.8,0.644252
-209.091,0.999655,0.00274454,7,127,0,215.805,-0.640166,0.646071,64.9546,0.259486,11859.8,0.646071
-205.694,0.943242,0.00535635,7,127,0,211.106,-0.512013,0.634817,62.8602,0.239491,11988,0.634817
-193.357,0.995462,0.00875248,5,31,0,206.162,-0.134415,0.635205,61.4385,0.24331,12365.6,0.635205
-193.25,0.390068,0.0166095,3,13,0,194.861,-0.119357,0.633504,61.4534,0.247961,12380.6,0.633504
-191.79,0.999057,0.00521489,5,31,0,193.688,-0.0801258,0.642316,61.0644,0.241596,12419.9,0.642316
-191.346,0.989108,0.00996371,4,15,0,192.337,-0.0900278,0.635898,59.6961,0.246328,12410,0.635898
-192.316,0.86224,0.0183094,1,3,0,192.751,-0.104777,0.644209,60.7627,0.246382,12395.2,0.644209
-192.316,2.83315e-09,0.0231173,1,1,0,196.346,-0.104777,0.644209,60.7627,0.246382,12395.2,0.644209
-190.334,0.998015,0.00247614,6,63,0,193.951,-0.064922,0.633234,58.0804,0.23887,12435.1,0.633234
-153.446,0.840366,0.00465721,6,66,1,192.674,0.785988,0.624379,23.999,0.23142,13286,0.624379
-152.133,0.986406,0.00556751,4,15,0,153.823,0.754349,0.631629,24.1522,0.230956,13254.3,0.631629
-151.312,0.196153,0.00996816,2,4,1,155.079,0.746612,0.624668,23.6843,0.229204,13246.6,0.624668
-151.303,0.992573,0.00199334,3,15,0,152.251,0.754951,0.631222,23.6372,0.228505,13255,0.631222
-141.919,0.992131,0.00362621,5,35,0,152.227,0.607642,0.632381,21.1534,0.223147,13107.6,0.632381
-141.919,3.01304e-08,0.00652392,1,1,0,144.36,0.607642,0.632381,21.1534,0.223147,13107.6,0.632381
-128.712,0.998228,0.000802962,8,255,0,143.267,0.477785,0.629789,14.4298,0.26152,12977.8,0.629789
-128.329,1,0.00147209,4,23,0,128.988,0.478151,0.630359,14.5318,0.262191,12978.2,0.630359
-125.944,0.887056,0.00268487,5,31,0,129.796,0.510754,0.633511,13.4328,0.25514,13010.8,0.633511
-125.015,0.585849,0.00360342,5,45,1,127.93,0.568894,0.630984,13.4973,0.24658,13068.9,0.630984
