# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=828079511
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_noise_sparse_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-140230,1,0.00012207,2,3,0,6.85591e+06,0.0820948,0.491933,0.209523,0.426196,12582.1,0.491933
-140230,0,14.3855,0,1,1,140231,0.0820948,0.491933,0.209523,0.426196,12582.1,0.491933
-140230,0,2.43117,0,1,1,140233,0.0820948,0.491933,0.209523,0.426196,12582.1,0.491933
-140230,0,0.239791,0,1,1,140232,0.0820948,0.491933,0.209523,0.426196,12582.1,0.491933
-140230,0,0.0186273,0,1,1,140236,0.0820948,0.491933,0.209523,0.426196,12582.1,0.491933
-140230,0,0.00130482,0,1,1,140235,0.0820948,0.491933,0.209523,0.426196,12582.1,0.491933
-123585,1,8.85015e-05,1,1,0,135039,0.0827561,0.496679,0.20975,0.426169,12582.8,0.496679
-120983,1,0.000135987,1,1,0,122163,0.0841589,0.500918,0.210215,0.426106,12584.2,0.500918
-120983,0,0.000228818,0,1,1,120984,0.0841589,0.500918,0.210215,0.426106,12584.2,0.500918
-120941,1,1.73734e-05,1,1,0,120983,0.0841943,0.500889,0.210224,0.426107,12584.2,0.500889
-119681,1,3.21041e-05,3,7,0,120915,0.0852534,0.499393,0.210619,0.426054,12585.3,0.499393
-118405,1,6.12567e-05,2,3,0,119681,0.0874114,0.499499,0.211487,0.426035,12587.4,0.499499
-51112.7,1,0.000119228,5,31,0,118327,0.268958,0.497804,0.293635,0.425793,12769,0.497804
-51112.7,0.0176922,0.000234676,1,1,0,51114.9,0.268958,0.497804,0.293635,0.425793,12769,0.497804
-51098,0.979788,2.17032e-05,2,3,0,51114.2,0.269026,0.49784,0.293669,0.42579,12769,0.49784
-51093.1,1,4.11302e-05,2,3,0,51099.6,0.269071,0.497852,0.293677,0.425807,12769.1,0.497852
-50938.4,0.937564,8.29332e-05,2,3,0,51094.5,0.269646,0.497771,0.294054,0.425752,12769.6,0.497771
-50835.1,1,0.000137657,2,3,0,50938.7,0.269937,0.497802,0.294315,0.425732,12769.9,0.497802
-50835.1,0.645894,0.000275254,1,1,0,50835.8,0.269937,0.497802,0.294315,0.425732,12769.9,0.497802
-39561.3,1,0.000188425,4,15,0,50817.9,0.312913,0.497501,0.328063,0.426355,12812.9,0.497501
-39561.3,1.26482e-15,0.000374062,1,2,1,39564.9,0.312913,0.497501,0.328063,0.426355,12812.9,0.497501
-39546.5,0.941089,3.82612e-05,3,7,0,39564.5,0.313109,0.497448,0.3281,0.426338,12813.1,0.497448
-38130.6,1,6.42946e-05,4,15,0,39549.4,0.319988,0.497394,0.333309,0.426843,12820,0.497394
-37911.8,0.738085,0.000127296,2,3,0,38133.4,0.321077,0.49749,0.334147,0.426695,12821.1,0.49749
-37861.5,1,0.00011725,2,3,0,37914.5,0.32127,0.497412,0.33434,0.426813,12821.3,0.497412
-37861.5,0.000227822,0.000228766,1,1,0,37868.3,0.32127,0.497412,0.33434,0.426813,12821.3,0.497412
-37743.4,0.985493,2.60026e-05,4,15,0,37864.2,0.321722,0.497259,0.334817,0.426827,12821.7,0.497259
-37734.8,1,4.88331e-05,3,7,0,37747,0.32182,0.49726,0.334844,0.426875,12821.8,0.49726
-36392.6,1,9.45125e-05,4,15,0,37734.4,0.327655,0.497279,0.340261,0.426898,12827.7,0.497279
-36392.6,0.101131,0.000180942,1,1,0,36396.7,0.327655,0.497279,0.340261,0.426898,12827.7,0.497279
-36313.6,0.993353,2.9231e-05,4,15,0,36395.6,0.327917,0.49746,0.340609,0.426882,12827.9,0.49746
-36309.4,0.999539,5.49087e-05,4,15,0,36314.9,0.327937,0.497443,0.340624,0.426859,12827.9,0.497443
-36282.4,0.900941,0.00010379,2,3,0,36316.1,0.328255,0.497313,0.340705,0.426964,12828.3,0.497313
-33381.5,1,0.000149182,4,15,0,36281.9,0.341151,0.497229,0.353663,0.427446,12841.2,0.497229
-33381.5,0.00533363,0.000277132,2,3,0,33384.6,0.341151,0.497229,0.353663,0.427446,12841.2,0.497229
-33305.9,0.988292,3.72786e-05,3,7,0,33384.7,0.341629,0.49734,0.35402,0.427355,12841.6,0.49734
-33298.4,0.994971,6.72149e-05,2,3,0,33307.2,0.341608,0.497298,0.354057,0.427331,12841.6,0.497298
-33285.5,1,0.000122141,2,3,0,33304.3,0.341737,0.497246,0.354106,0.427233,12841.7,0.497246
-26719.4,1,0.00022271,4,15,0,33276.9,0.372228,0.496896,0.391557,0.428205,12872.2,0.496896
-26481.9,1,0.000402262,1,1,0,26718.8,0.373378,0.496898,0.39318,0.428047,12873.4,0.496898
-25648.5,0.5,0.000719915,1,2,1,26481.9,0.376358,0.49703,0.399195,0.427987,12876.4,0.49703
-25426.8,0.333333,0.000363829,2,3,0,25650.2,0.376911,0.496783,0.400865,0.428046,12876.9,0.496783
-24142.8,1,0.00012255,4,15,0,25430,0.382686,0.496722,0.410738,0.429087,12882.7,0.496722
-24088.4,1,0.000218217,1,1,0,24143.3,0.383068,0.496743,0.411155,0.429033,12883.1,0.496743
-23903.4,0.333336,0.000385219,2,3,0,24089,0.384526,0.496929,0.412584,0.429105,12884.5,0.496929
-23822.5,1,0.000132621,2,3,0,23903.4,0.384934,0.496814,0.413231,0.429079,12884.9,0.496814
-23573.4,0.260805,0.000232901,2,3,0,23827.1,0.386175,0.496705,0.41528,0.429002,12886.2,0.496705
-23563.4,0.999765,6.85408e-05,3,7,0,23578.1,0.386394,0.496701,0.415343,0.428969,12886.4,0.496701
-23556.1,0.924518,0.000119824,1,1,0,23565.9,0.386474,0.496675,0.415404,0.429028,12886.5,0.496675
-23436.7,0.890434,0.000173837,2,3,0,23559.3,0.386561,0.496978,0.416462,0.429063,12886.6,0.496978
-19844.2,1,0.000231486,4,15,0,23432.6,0.405556,0.496789,0.450442,0.428323,12905.6,0.496789
-19844.2,0.00568708,0.000396756,2,3,0,19844.8,0.405556,0.496789,0.450442,0.428323,12905.6,0.496789
-19815.2,1,6.68065e-05,2,3,0,19845,0.405679,0.496673,0.450739,0.428421,12905.7,0.496673
-19808.1,1,0.000114543,1,1,0,19816,0.405756,0.496671,0.450812,0.428467,12905.8,0.496671
-19779.4,0.990006,0.000194969,2,3,0,19810.2,0.405653,0.496598,0.451149,0.428589,12905.7,0.496598
-19682.3,0.845707,0.000322095,2,3,0,19780.1,0.406437,0.496602,0.452177,0.428681,12906.4,0.496602
-19575.1,0.431282,0.000381085,2,3,0,19684.7,0.406311,0.49657,0.453429,0.428731,12906.3,0.49657
-19555.3,1,0.000176765,1,1,0,19576,0.406494,0.496567,0.45364,0.428803,12906.5,0.496567
-19499.7,0.986994,0.000295766,2,3,0,19557.4,0.406998,0.496702,0.454234,0.428615,12907,0.496702
-18751,0.333333,0.000477619,2,6,1,19499.6,0.412011,0.49672,0.462693,0.428261,12912,0.49672
-18744.3,0.652517,0.000180438,1,1,0,18755.6,0.411953,0.496785,0.4628,0.428292,12912,0.496785
-18238.6,0.998463,0.000139127,4,15,0,18744.8,0.415284,0.496528,0.468786,0.42793,12915.3,0.496528
-17360.7,1,0.000229239,4,15,0,18238.1,0.420185,0.496496,0.47998,0.428327,12920.2,0.496496
-17360.7,0.00782198,0.000376679,2,6,1,17365.1,0.420185,0.496496,0.47998,0.428327,12920.2,0.496496
-17343.1,0.998291,7.20092e-05,2,3,0,17362.4,0.420152,0.496461,0.480228,0.428382,12920.2,0.496461
-17311.2,0.995945,0.000117927,2,3,0,17343.7,0.42014,0.49654,0.480672,0.428383,12920.1,0.49654
-17272.3,1,0.00019104,2,3,0,17318.5,0.420603,0.49651,0.481164,0.428159,12920.6,0.49651
-17229.1,0.793564,0.000310401,2,3,0,17274,0.420878,0.496585,0.481745,0.428235,12920.9,0.496585
-16978.4,0.758765,0.000324132,2,3,0,17230.5,0.42157,0.496627,0.485227,0.428045,12921.6,0.496627
-3005.69,0.972854,0.000314351,6,63,0,16972.3,0.57089,0.495396,1.13789,0.429121,13070.9,0.495396
-2961.6,0.638839,0.000477104,3,7,0,3009.13,0.570686,0.495196,1.14621,0.428295,13070.7,0.495196
-2906.17,0.999296,0.000359722,3,7,0,2964.05,0.570387,0.495085,1.15711,0.430001,13070.4,0.495085
-2854.99,0.81654,0.000573435,3,7,0,2909.24,0.57361,0.495421,1.16776,0.429674,13073.6,0.495421
-2813.73,0.989383,0.000624275,2,3,0,2858.13,0.572776,0.494807,1.17631,0.429904,13072.8,0.494807
-2800.57,0.334496,0.000967231,2,3,0,2814.27,0.571459,0.495397,1.17895,0.430029,13071.5,0.495397
-2796.27,0.997066,0.000392725,2,3,0,2801.23,0.571303,0.495407,1.17986,0.429992,13071.3,0.495407
-2790.13,1,0.000616452,2,3,0,2799.11,0.572614,0.495321,1.18112,0.429738,13072.6,0.495321
-2769.94,0.33397,0.000968759,2,3,0,2791.11,0.572701,0.495261,1.18539,0.429378,13072.7,0.495261
-2751.58,0.963215,0.000398009,2,3,0,2770.57,0.572956,0.49506,1.18933,0.429611,13073,0.49506
-2729.48,0.374687,0.000579577,3,7,0,2759.02,0.572301,0.49503,1.19414,0.428166,13072.3,0.49503
-2729.79,0.988959,0.000260987,3,7,0,2730.4,0.572461,0.495136,1.19405,0.428179,13072.5,0.495136
-2589.87,0.999311,0.000399085,4,15,0,2731.24,0.567983,0.495121,1.22583,0.429813,13068,0.495121
-2550.07,0.997663,0.000620158,3,7,0,2590.8,0.569912,0.49509,1.23545,0.42947,13069.9,0.49509
-2494.98,0.378674,0.000956379,3,7,0,2551.55,0.568584,0.495377,1.24911,0.430336,13068.6,0.495377
-2482.04,1,0.000439227,3,7,0,2496.39,0.568858,0.49501,1.25233,0.429782,13068.9,0.49501
-2468.74,0.966854,0.000678512,4,15,0,2483.84,0.568815,0.495356,1.25574,0.430427,13068.8,0.495356
-1838.76,0.493772,0.000979006,5,31,0,2471.25,0.554944,0.495282,1.45549,0.422522,13054.9,0.495282
-1828.28,0.897223,0.000566691,2,3,0,1840.18,0.556301,0.495497,1.45981,0.422316,13056.3,0.495497
-110.961,1,0.000713554,9,511,0,1831.15,0.474714,0.496545,226541,0.306004,12974.7,0.496545
-104.449,1,0.00109042,9,511,0,111.438,0.35854,0.454924,113602,0.451513,12858.5,0.454924
-102.807,1,0.00165976,8,255,0,104.734,0.367065,0.487839,96418,0.531321,12867.1,0.487839
-94.4134,1,0.00251659,8,255,0,104.518,0.572931,0.521777,38436.3,0.716913,13072.9,0.521777
-69.4399,1,0.00380126,8,511,0,98.2573,0.5906,0.22795,2138.05,0.566199,13090.6,0.22795
-68.8853,0.992258,0.00572035,7,255,0,70.9058,0.461472,0.250803,2060.01,0.629901,12961.5,0.250803
-67.8016,0.999998,0.00845398,6,63,0,69.532,0.35667,0.239459,1816.87,0.647461,12856.7,0.239459
-54.5859,0.998554,0.0126309,6,127,0,68.9057,0.666394,0.367788,183.449,0.70503,13166.4,0.367788
-55.4692,0.998717,0.0187551,3,7,0,56.0853,0.669271,0.360579,183.284,0.716949,13169.3,0.360579
-53.6491,0.996568,0.0277616,4,23,0,56.2549,0.7564,0.634514,166.576,0.869105,13256.4,0.634514
-45.5825,0.954145,0.0407939,4,23,0,56.7779,0.556684,0.523275,159.603,0.887069,13056.7,0.523275
-45.5259,0.919241,0.055295,4,15,0,46.2345,0.632831,0.464981,153.445,0.850741,13132.8,0.464981
-39.1362,0.25,0.140321,2,4,1,46.1693,0.647253,0.475044,61.6424,0.891182,13147.3,0.475044
-39.1362,0,0.516214,0,1,1,41.7442,0.647253,0.475044,61.6424,0.891182,13147.3,0.475044
-42.2376,0.79119,0.0582381,2,3,0,43.405,0.647426,0.460623,68.652,0.885666,13147.4,0.460623
-39.4438,0.872532,0.0375513,3,7,0,43.4681,0.642725,0.48589,77.6221,0.893947,13142.7,0.48589
-36.8246,0.982791,0.0355677,3,7,0,41.1147,0.651449,0.494982,55.2538,0.913337,13151.4,0.494982
-36.2028,0.958654,0.0522769,5,55,0,38.0107,0.727615,0.494498,48.5916,1.28885,13227.6,0.494498
-35.3719,1,0.0777556,2,3,0,35.8922,0.723354,0.494541,23.2631,1.28603,13223.4,0.494541
-35.1312,0.143937,0.138119,3,7,0,36.501,0.739,0.498317,34.8812,1.25535,13239,0.498317
-36.098,0.976179,0.0171832,8,375,0,38.0638,0.289354,0.488845,30.9489,0.554265,12789.4,0.488845
