# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=525778646
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_increase_tau_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-3527.43,1,0.00390625,1,1,0,38926.6,-1.57123,0.630634,12.6901,3.69275,10928.8,0.630634
-3527.43,0,14.3855,0,1,1,3530.25,-1.57123,0.630634,12.6901,3.69275,10928.8,0.630634
-3527.43,0,2.43117,0,1,1,3528.41,-1.57123,0.630634,12.6901,3.69275,10928.8,0.630634
-3527.43,0,0.239791,0,1,1,3528.42,-1.57123,0.630634,12.6901,3.69275,10928.8,0.630634
-3527.43,0,0.0186273,0,1,1,3528.45,-1.57123,0.630634,12.6901,3.69275,10928.8,0.630634
-1563.51,1,0.00130482,3,7,0,3499.23,-1.55775,0.73725,13.8075,3.68647,10942.3,0.73725
-1463.19,1,0.00189104,1,1,0,1561.26,-1.55541,0.74611,13.8809,3.68121,10944.6,0.74611
-413.66,1,0.00305706,3,7,0,1417.85,-1.53569,0.947331,15.1208,3.75713,10964.3,0.947331
-385.061,1,0.00530085,1,1,0,410.902,-1.53437,0.963986,15.2582,3.74878,10965.6,0.963986
-331.857,1,0.00961161,2,3,0,372.465,-1.51432,1.01849,15.6724,3.81002,10985.7,1.01849
-88.3383,1,0.0179176,6,63,0,323.328,-1.13126,1.00365,29.4788,3.77878,11368.7,1.00365
-88.3383,0.017,0.0339435,3,7,0,92.8218,-1.13126,1.00365,29.4788,3.77878,11368.7,1.00365
-62.6596,0.984334,0.00293292,8,255,0,92.3543,1.69045,0.895971,780.795,5.06247,14190.4,0.895971
-51.56,0.978742,0.00541891,7,183,0,64.8393,1.2433,0.814379,231.031,3.05994,13743.3,0.814379
-45.6919,0.995053,0.00986026,7,127,0,56.7687,1.35423,0.96601,71.6463,7.73413,13854.2,0.96601
-44.4315,0.978701,0.0188499,5,31,0,47.0596,0.956326,0.949611,81.0975,8.22959,13456.3,0.949611
