# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=321640300
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=state_var_K_samples_increase_tau_new_prior_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-2.34701e+06,1,0.00012207,1,1,0,2.50815e+07,-0.875717,1.26889,0.22753,0.945625,11624.3,1.26889
-2.34701e+06,0,14.3855,0,1,1,2.34701e+06,-0.875717,1.26889,0.22753,0.945625,11624.3,1.26889
-2.34701e+06,0,2.43117,0,1,1,2.34701e+06,-0.875717,1.26889,0.22753,0.945625,11624.3,1.26889
-2.34701e+06,0,0.239791,0,1,1,2.34701e+06,-0.875717,1.26889,0.22753,0.945625,11624.3,1.26889
-2.34701e+06,0,0.0186273,0,1,1,2.34701e+06,-0.875717,1.26889,0.22753,0.945625,11624.3,1.26889
-2.34701e+06,0,0.00130482,0,1,1,2.34701e+06,-0.875717,1.26889,0.22753,0.945625,11624.3,1.26889
-676205,1,8.85015e-05,2,3,0,2.1464e+06,-0.86894,1.07425,0.242813,0.945596,11631.1,1.07425
-541527,1,0.000135987,1,1,0,631616,-0.862207,1.03101,0.245893,0.945593,11637.8,1.03101
-541527,0,0.000228818,1,1,0,541532,-0.862207,1.03101,0.245893,0.945593,11637.8,1.03101
-534795,1,1.73734e-05,3,7,0,541512,-0.860434,1.02835,0.246533,0.945653,11639.6,1.02835
-351207,1,3.21041e-05,5,31,0,534612,-0.762817,1.01322,0.281041,0.945392,11737.2,1.01322
-345144,1,6.12567e-05,2,3,0,351186,-0.758784,1.01441,0.282525,0.94541,11741.2,1.01441
-339723,1,0.000119228,1,1,0,345094,-0.754864,1.01504,0.283861,0.945466,11745.1,1.01504
-267325,1,0.000234676,2,3,0,337948,-0.696362,1.0152,0.30507,0.944884,11803.6,1.0152
-128061,1,0.000464213,3,7,0,259507,-0.518236,1.01323,0.376123,0.943518,11981.8,1.01323
-84986.8,1,0.000918678,1,1,0,124106,-0.417387,1.00624,0.418803,0.943354,12082.6,1.00624
-84986.8,0,0.00181295,0,1,1,84987.1,-0.417387,1.00624,0.418803,0.943354,12082.6,1.00624
-81310.2,1,0.000167863,2,3,0,84897.5,-0.407221,1.01277,0.422806,0.943462,12092.8,1.01277
-23879.4,1,0.000335137,8,255,0,80816.1,-0.114377,1.00816,0.555907,0.942546,12385.6,1.00816
-23879.4,2.79886e-60,0.000664116,1,1,0,23882.9,-0.114377,1.00816,0.555907,0.942546,12385.6,1.00816
-23817,1,6.61814e-05,2,3,0,23882.7,-0.113766,1.00817,0.556206,0.942276,12386.2,1.00817
-23766.4,1,0.000132078,1,1,0,23817.3,-0.113283,1.00816,0.556456,0.94231,12386.7,1.00816
