# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=201371982
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=smooth_K_samples_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-31853,1,0.000976562,1,1,0,109549,-0.285947,0.678361,3.43381,2.3224,12214.1,0.678361
-31853,0,14.3855,0,1,1,31857.1,-0.285947,0.678361,3.43381,2.3224,12214.1,0.678361
-31853,0,2.43117,0,1,1,31855,-0.285947,0.678361,3.43381,2.3224,12214.1,0.678361
-31853,0,0.239791,0,1,1,31854.2,-0.285947,0.678361,3.43381,2.3224,12214.1,0.678361
-31853,0,0.0186273,0,1,1,31853.9,-0.285947,0.678361,3.43381,2.3224,12214.1,0.678361
-3448.79,1,0.00130482,4,15,0,27937,0.163766,0.627549,3.74545,3.08679,12663.8,0.627549
-3448.79,0,0.00189104,0,1,1,3452.75,0.163766,0.627549,3.74545,3.08679,12663.8,0.627549
-3449.18,0.998236,0.000135987,1,1,0,3451.2,0.163757,0.627545,3.74542,3.08677,12663.8,0.627545
-3359.63,1,0.000227553,3,7,0,3450.75,0.165246,0.62944,3.74664,3.08585,12665.2,0.62944
-3328.65,1,0.00040637,1,1,0,3361.74,0.165884,0.630128,3.74521,3.08679,12665.9,0.630128
-2894.51,1,0.000754221,2,3,0,3313.85,0.186102,0.636979,3.75209,3.10598,12686.1,0.636979
-1869.85,1,0.00143396,2,3,0,2860.08,0.249891,0.635506,3.76814,3.14689,12749.9,0.635506
-1869.85,0,0.00276464,0,1,1,1873.1,0.249891,0.635506,3.76814,3.14689,12749.9,0.635506
-1852.04,1,0.000233382,2,3,0,1871.32,0.250779,0.634782,3.76746,3.14806,12750.8,0.634782
-1682.81,1,0.000461667,2,3,0,1852.89,0.262908,0.633562,3.77806,3.15726,12762.9,0.633562
-1445.44,1,0.000913672,2,3,0,1683.57,0.282042,0.633648,3.79408,3.16361,12782,0.633648
-1256.19,1,0.00180314,1,1,0,1439.43,0.298761,0.63238,3.80078,3.16957,12798.8,0.63238
-1256.19,5.06466e-159,0.00354011,1,2,1,1259.16,0.298761,0.63238,3.80078,3.16957,12798.8,0.63238
-1204.6,1,0.000333351,4,15,0,1258.73,0.30313,0.632907,3.80747,3.17696,12803.1,0.632907
-464.939,0.992353,0.000660604,4,15,0,1206.18,0.394678,0.631872,3.84167,3.20376,12894.7,0.631872
-464.939,0.213219,0.00126873,2,3,0,467.488,0.394678,0.631872,3.84167,3.20376,12894.7,0.631872
-421.367,0.999681,0.000241279,4,15,0,465.81,0.402678,0.631367,3.83952,3.20704,12902.7,0.631367
-413.828,0.995626,0.000473993,2,3,0,423.801,0.404104,0.631493,3.84174,3.20791,12904.1,0.631493
-368.381,1,0.000910979,2,3,0,415.649,0.413542,0.631314,3.82856,3.20755,12913.5,0.631314
-368.381,0.0618937,0.00175512,2,3,0,369.704,0.413542,0.631314,3.82856,3.20755,12913.5,0.631314
-346.321,0.981547,0.000229354,4,15,0,372.501,0.418539,0.6305,3.83612,3.21509,12918.5,0.6305
-335.543,1,0.00042015,2,3,0,347.078,0.420804,0.630988,3.83498,3.21282,12920.8,0.630988
-329.758,1,0.000802668,3,7,0,335.73,0.422186,0.630914,3.83642,3.21236,12922.2,0.630914
