# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=537885426
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=smooth_K_samples_sparse_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-38962.5,1,0.00195312,3,7,0,151258,0.589014,1.47793,5.8429,1.6122,13089,1.47793
-38962.5,0,14.3855,0,1,1,38966,0.589014,1.47793,5.8429,1.6122,13089,1.47793
-38962.5,0,2.43117,0,1,1,38962.9,0.589014,1.47793,5.8429,1.6122,13089,1.47793
-38962.5,0,0.239791,0,1,1,38965.1,0.589014,1.47793,5.8429,1.6122,13089,1.47793
-38962.5,0,0.0186273,0,1,1,38963.1,0.589014,1.47793,5.8429,1.6122,13089,1.47793
-13010.3,1,0.00130482,3,7,0,38154.2,0.577851,1.28358,9.66754,1.6312,13077.9,1.28358
-8124.64,1,0.00189104,2,3,0,12826.9,0.592316,1.15951,11.4302,1.63969,13092.3,1.15951
-3134.28,1,0.00305706,2,3,0,7825.56,0.627012,0.926867,15.0048,1.6476,13127,0.926867
-531.088,1,0.00530085,5,31,0,2875.29,0.727673,0.665016,19.9112,1.67032,13227.7,0.665016
-141.917,1,0.00961161,2,3,0,440.692,0.740698,0.566835,20.9136,1.64538,13240.7,0.566835
-70.6822,1,0.0179176,1,1,0,97.4069,0.772441,0.454278,21.1529,1.64572,13272.4,0.454278
-70.6822,0,0.0339435,0,1,1,71.9683,0.772441,0.454278,21.1529,1.64572,13272.4,0.454278
-49.8441,0.994668,0.00278004,3,7,0,73.2093,0.728613,0.4673,21.1523,1.65417,13228.6,0.4673
-41.7875,1,0.00530682,3,7,0,51.3362,0.761609,0.503045,21.6053,1.59255,13261.6,0.503045
-35.9954,0.75742,0.0103192,4,23,0,41.8419,0.742322,0.486287,22.6785,1.64511,13242.3,0.486287
-38.914,0.558684,0.00944455,4,27,0,39.5802,0.727945,0.493167,22.9012,1.6079,13227.9,0.493167
-36.9903,1,0.00471701,2,3,0,39.0164,0.734322,0.494337,22.8574,1.60684,13234.3,0.494337
-36.2962,0.889242,0.00919525,5,63,0,37.2499,0.751565,0.488557,20.9143,1.65158,13251.6,0.488557
-36.0777,0.520025,0.0127225,3,15,0,37.0288,0.740785,0.494361,21.4318,1.62722,13240.8,0.494361
-33.1426,0.924373,0.0057848,6,85,0,36.8642,0.748661,0.487308,19.2588,0.942438,13248.7,0.487308
-33.1426,0.0385251,0.00891138,1,3,0,35.8852,0.748661,0.487308,19.2588,0.942438,13248.7,0.487308
-31.8021,0.918511,0.000994752,9,867,0,34.806,0.742862,0.4958,18.5214,0.679475,13242.9,0.4958
-30.2043,0.996928,0.00152204,7,159,0,32.2136,0.744451,0.491938,20.4997,0.653697,13244.5,0.491938
-29.3479,0.879449,0.00290733,7,159,0,31.3156,0.747041,0.489288,23.6434,0.537691,13247,0.489288
-28.6774,0.581424,0.00391847,6,71,0,29.2731,0.744926,0.489293,23.4189,0.514105,13244.9,0.489293
-31.4684,0.927621,0.00224384,8,497,1,32.1269,0.743558,0.490024,37.3666,0.6445,13243.6,0.490024
-32.8136,0.951369,0.00346022,4,15,0,33.2514,0.7452,0.475763,37.1186,0.652099,13245.2,0.475763
-32.8136,0.00228511,0.0056642,1,3,0,34.7716,0.7452,0.475763,37.1186,0.652099,13245.2,0.475763
-33.0463,0.995088,0.000654222,8,383,0,34.8482,0.741813,0.499317,35.319,0.767607,13241.8,0.499317
-33.1415,0.996384,0.00121571,3,7,0,33.4556,0.741471,0.499185,35.3371,0.766379,13241.5,0.499185
-32.5391,0.928885,0.002244,5,31,0,35.3468,0.742455,0.492081,36.3959,0.774999,13242.5,0.492081
-32.4605,0.767518,0.0034135,8,255,0,35.5101,0.744437,0.490322,26.6266,0.989986,13244.4,0.490322
-32.4774,0.75589,0.00333881,7,183,0,37.0462,0.749029,0.498129,22.3135,0.714389,13249,0.498129
-32.2025,0.936729,0.0031667,3,11,0,33.4168,0.748047,0.482469,22.2392,0.715389,13248,0.482469
-30.7656,0.672752,0.00485393,6,95,0,33.0837,0.743431,0.491804,27.6351,0.708104,13243.4,0.491804
-30.2661,0.999658,0.00369082,7,127,0,31.206,0.745772,0.491682,22.2013,0.68027,13245.8,0.491682
-31.7157,0.129053,0.00661172,1,1,0,32.7718,0.749769,0.491955,22.2043,0.679667,13249.8,0.491955
-30.333,0.998051,0.00123256,5,55,0,32.4599,0.743919,0.48991,21.9471,0.684574,13243.9,0.48991
-30.4535,0.995126,0.0021968,5,47,0,31.7711,0.74529,0.487603,21.3067,0.682075,13245.3,0.487603
-30.632,0.699479,0.00385131,7,183,0,32.2096,0.747607,0.493028,24.3631,0.667706,13247.6,0.493028
-32.5294,0.524012,0.00316831,1,1,0,32.6283,0.750937,0.49273,24.383,0.668047,13250.9,0.49273
-30.536,0.999934,0.00168209,5,63,0,33.053,0.742147,0.491719,24.2755,0.651674,13242.1,0.491719
-30.0931,0.872788,0.00295116,7,177,0,31.8143,0.748138,0.487693,20.7103,0.514037,13248.1,0.487693
-29.684,0.804343,0.00374826,5,39,0,31.4914,0.747604,0.490872,21.0544,0.532906,13247.6,0.490872
-28.9508,0.737424,0.00400899,5,37,0,32.5997,0.746815,0.49265,25.298,0.4937,13246.8,0.49265
-28.8929,0.602374,0.00363763,6,83,0,30.5101,0.743182,0.487256,21.2002,0.4643,13243.2,0.487256
-29.8814,0.992813,0.00238238,8,255,0,30.5514,0.746753,0.496007,24.1868,0.560997,13246.8,0.496007
-30.1981,0.757303,0.00401347,7,147,0,30.6208,0.747383,0.48569,27.7507,0.566563,13247.4,0.48569
-29.3212,0.639599,0.00382347,5,35,0,31.9317,0.745901,0.493392,27.7023,0.541482,13245.9,0.493392
-30.7268,0.91313,0.00275593,8,255,0,32.2623,0.747048,0.491174,38.7072,0.509025,13247,0.491174
