# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=655920092
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.99
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=smooth_K_samples_sparse_delta99_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,m,tau,sigma.1,sigma.2,theta.1,theta.2
-8314.85,1,0.00195312,1,1,0,107963,-0.645552,0.41675,3.06512,2.14202,11854.4,0.41675
-8314.85,0,10.1835,0,1,1,8315.95,-0.645552,0.41675,3.06512,2.14202,11854.4,0.41675
-8314.85,0,0.99273,0,1,1,8315.35,-0.645552,0.41675,3.06512,2.14202,11854.4,0.41675
-8314.85,0,0.0525042,0,1,1,8317.58,-0.645552,0.41675,3.06512,2.14202,11854.4,0.41675
-2243.29,1,0.00212378,2,3,0,6086.3,-0.641672,0.479344,3.17586,2.13947,11858.3,0.479344
-1738.03,1,0.00151458,2,3,0,2163.42,-0.632745,0.509176,3.22771,2.15766,11867.3,0.509176
-1677.6,1,0.00123179,2,3,0,1738.68,-0.623065,0.504276,3.24588,2.1642,11876.9,0.504276
-1643.56,0.7673,0.00109448,2,3,0,1683.35,-0.618389,0.500973,3.2742,2.16365,11881.6,0.500973
-1640.41,1,0.000497759,2,3,0,1645.06,-0.618899,0.501403,3.27703,2.16398,11881.1,0.501403
-1597.41,0.996598,0.000489694,3,7,0,1642.75,-0.616695,0.502295,3.3143,2.16236,11883.3,0.502295
-1568.67,0.995036,0.000493178,4,15,0,1600.72,-0.609386,0.504417,3.32838,2.16278,11890.6,0.504417
-1564.94,0.98987,0.000506756,3,7,0,1571.64,-0.608963,0.505075,3.33262,2.16638,11891,0.505075
-1552.69,0.999807,0.000521853,2,3,0,1565.41,-0.607694,0.5047,3.3424,2.16634,11892.3,0.5047
-1551.35,1,0.000562125,2,3,0,1554.35,-0.607401,0.504455,3.34284,2.16606,11892.6,0.504455
-1549.2,0.99766,0.000611942,3,7,0,1552.87,-0.606765,0.504074,3.34338,2.16452,11893.2,0.504074
